Repository;Commits chunk start;Commits chunk end;# of microservices detected;False negatives;False positives
EdwinVW.pitstop;2;26;11;;4
EdwinVW.pitstop;27;44;11;;4
EdwinVW.pitstop;45;50;13;;6
EdwinVW.pitstop;51;51;14;;7
EdwinVW.pitstop;52;74;14;;7
EdwinVW.pitstop;75;115;13;;6
EdwinVW.pitstop;116;281;11;;4
EdwinVW.pitstop;282;303;12;;5
EdwinVW.pitstop;304;346;12;;5
EdwinVW.pitstop;347;397;11;;4
FudanSELab.train-ticket;192;224;41;;1
FudanSELab.train-ticket;225;281;42;;2
FudanSELab.train-ticket;282;287;42;;2
FudanSELab.train-ticket;288;296;41;;1
FudanSELab.train-ticket;297;298;41;;1
FudanSELab.train-ticket;299;300;41;;1
FudanSELab.train-ticket;301;308;41;;1
FudanSELab.train-ticket;309;312;42;;2
FudanSELab.train-ticket;313;319;42;;2
FudanSELab.train-ticket;320;322;42;4;2
FudanSELab.train-ticket;323;323;42;4;2
ewolff.microservice;84;111;3;;
ewolff.microservice;112;140;3;;
mcroservices-patterns.ftgo-application;2;6;7;;1
mcroservices-patterns.ftgo-application;7;9;7;;1
mcroservices-patterns.ftgo-application;10;21;8;;2
mcroservices-patterns.ftgo-application;22;22;8;;2
mcroservices-patterns.ftgo-application;23;24;8;;2
mcroservices-patterns.ftgo-application;25;29;8;;2
mcroservices-patterns.ftgo-application;30;30;9;;3
mcroservices-patterns.ftgo-application;31;44;8;;2
mcroservices-patterns.ftgo-application;45;48;9;;3
mcroservices-patterns.ftgo-application;49;54;9;;3
mcroservices-patterns.ftgo-application;55;58;9;;3
mcroservices-patterns.ftgo-application;59;59;9;;3
mcroservices-patterns.ftgo-application;60;61;9;;3
mcroservices-patterns.ftgo-application;62;63;9;;3
mcroservices-patterns.ftgo-application;64;72;9;;3
mcroservices-patterns.ftgo-application;73;73;8;;2
mcroservices-patterns.ftgo-application;74;84;9;;3
mcroservices-patterns.ftgo-application;85;85;8;;2
mcroservices-patterns.ftgo-application;86;87;9;;3
mcroservices-patterns.ftgo-application;88;94;9;;3
mcroservices-patterns.ftgo-application;95;98;9;;3
mcroservices-patterns.ftgo-application;99;101;9;;3
mcroservices-patterns.ftgo-application;102;103;9;;3
mcroservices-patterns.ftgo-application;104;104;9;;3
mcroservices-patterns.ftgo-application;105;107;9;;3
mcroservices-patterns.ftgo-application;108;113;9;;3
mcroservices-patterns.ftgo-application;114;114;9;;3
mcroservices-patterns.ftgo-application;115;117;9;;3
mcroservices-patterns.ftgo-application;118;118;9;;3
mcroservices-patterns.ftgo-application;119;120;9;;3
mcroservices-patterns.ftgo-application;121;122;9;;3
mcroservices-patterns.ftgo-application;123;123;9;;3
mcroservices-patterns.ftgo-application;124;133;9;;3
mcroservices-patterns.ftgo-application;134;134;9;;3
mcroservices-patterns.ftgo-application;135;145;9;;3
mcroservices-patterns.ftgo-application;146;146;9;;3
mcroservices-patterns.ftgo-application;147;148;9;;3
mcroservices-patterns.ftgo-application;149;149;9;;3
mcroservices-patterns.ftgo-application;150;158;9;;3
mcroservices-patterns.ftgo-application;159;159;10;;4
mcroservices-patterns.ftgo-application;160;161;10;;4
mcroservices-patterns.ftgo-application;162;165;10;;4
mcroservices-patterns.ftgo-application;166;166;9;;3
mcroservices-patterns.ftgo-application;167;167;10;;4
mcroservices-patterns.ftgo-application;168;179;10;;4
mcroservices-patterns.ftgo-application;180;180;11;;5
mcroservices-patterns.ftgo-application;181;181;10;;4
mcroservices-patterns.ftgo-application;182;182;11;;5
mcroservices-patterns.ftgo-application;183;186;10;;4
mcroservices-patterns.ftgo-application;187;188;11;;5
mcroservices-patterns.ftgo-application;189;190;10;;4
mcroservices-patterns.ftgo-application;191;191;10;;4
mcroservices-patterns.ftgo-application;192;194;10;;4
mcroservices-patterns.ftgo-application;195;203;11;;5
mcroservices-patterns.ftgo-application;204;207;10;;4
mcroservices-patterns.ftgo-application;208;234;11;;5
mcroservices-patterns.ftgo-application;235;235;10;;4
mcroservices-patterns.ftgo-application;236;236;11;;5
mcroservices-patterns.ftgo-application;237;247;11;;5
mcroservices-patterns.ftgo-application;248;251;10;;4
mcroservices-patterns.ftgo-application;252;255;10;;4
mcroservices-patterns.ftgo-application;256;261;10;;4
mcroservices-patterns.ftgo-application;262;266;11;;5
