CHUNKS_N,CHUNKS_H,DCFs,DC
"[(1, 1)]","[('6c1b2c3d4553d8bd535f9271907ec355c47853ea', '6c1b2c3d4553d8bd535f9271907ec355c47853ea')]",[],
"[(2, 126)]","[('57b392013e08dfc6b04a469061187dbd819c8462', 'ab63e8198c42f31147c3fb572875ca89ba46db72')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(127, 127)]","[('045dc8579d1b2e689f175d3cbe8877ad91f1be2c', '045dc8579d1b2e689f175d3cbe8877ad91f1be2c')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compsoe-v1.0/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(128, 128)]","[('a0209eff2070d8fed15bca3ec66fa24214f6f376', 'a0209eff2070d8fed15bca3ec66fa24214f6f376')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(129, 132)]","[('8de573d8614293dfac454b480f8551f8bdff74f2', '1c4df3dd428a2853994f39eaeba2d3cb475c76b8')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compsoe-v1.0/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(133, 133)]","[('49da61a3b92962759dde9dcad7dd44231592c982', '49da61a3b92962759dde9dcad7dd44231592c982')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compsoe-v0.0.2/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(134, 157)]","[('5c3949c165eb3b0e66acf61529ac77d23da129d5', '7bcfcf9f41e88e69ec712b0465efe4ef83a3b293')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(158, 158)]","[('2e476e83ed717c68926897b0d74c87adba38eca8', '2e476e83ed717c68926897b0d74c87adba38eca8')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/docker-compose-quickstart.yml', 'docker-compose-quickstart.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(159, 160)]","[('f561d8b393a8f2f8f10984100a052ae6d5b678dd', '2c1ea4cacd79cfe45df97b81bb06fe9fd4f64a01')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'quickstart-docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(161, 161)]","[('7ab3c4bbd07efb9b8e41b63da2df2955435f7dbb', '7ab3c4bbd07efb9b8e41b63da2df2955435f7dbb')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'docker-compose-swarm.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(162, 190)]","[('9bbc543797e9ec76038d037682db9ae26b39ac3e', '665df165216cb9223802f268bf51b2028248b043')]","['1-services/docker-compose-swarm.yml', '1-services/docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml', 'docker-compose.yml', 'kubernetes-services/docker-compose.yml', 'quickstart-docker-compose.yml', 'spring-transaction-consumer/docker-compose.yml']",/docker-compose.yml
"[(191, 191)]","[('cdbc11387565914c764a258cf6dd0e8e3ccafe56', 'cdbc11387565914c764a258cf6dd0e8e3ccafe56')]","['Document/docker-compose.yml', 'Document/quickstart-docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml']",/Document/docker-compose.yml
"[(192, 192)]","[('91e1d1ed11c1f199169654ee5891497083cec28e', '91e1d1ed11c1f199169654ee5891497083cec28e')]","['Document/quickstart-docker-compose.yml', 'deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml', 'docker-compose.yml']",/docker-compose.yml
"[(193, 233)]","[('bfc8f693d49f28e5123d0265ad5bda8df5ec2415', '2773069c22ab59dc75d8f1645eaa2afbb0a023ba')]","['deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml', 'docker-compose.yml', 'quickstart-docker-compose.yml']",/docker-compose.yml
"[(234, 246)]","[('020966ddd86fcdbec4c23ade8fd813993425f003', 'a68b506ed91d1ba97c37b2c4548f3282efe50024')]","['deployment/docker-compose-v0.0.2/docker-compose.yml', 'deployment/quickstart-docker-compose-v0.0.2/quickstart-docker-compose.yml', 'docker-compose.yml']",/docker-compose.yml
"[(247, 281)]","[('c01a86cc15625baf2542ddf4e09ed2ddb24f6e1e', '1e671c7f3d4b72e0fe73bce4b85f90587066bc03')]","['deployment/docker-compose/docker-compose.yml', 'deployment/quickstart-docker-compose/quickstart-docker-compose.yml', 'docker-compose.yml']",/docker-compose.yml
"[(282, 287)]","[('97fe13cc7423654a60250b200c8cea4296c4e073', 'c39e0e58b2a017ce7d1c33680751daf4ef7946ef')]","['deployment/docker-compose-old/docker-compose.yml', 'deployment/quickstart-docker-compose/quickstart-docker-compose.yml', 'docker-compose.yml']",/docker-compose.yml
