CHUNKS_N,CHUNKS_H,DCFs,DC
"[(1, 2)]","[('9f6414d9e0f519b29c8d059d3ae8e604bd3163eb', '6d9ec83e50377bb2c692892c0ac0242309e0b5b3')]",[],
"[(3, 22)]","[('c08364777c724a2cdf9a33ee114b416daba14729', '568da6c165f473d9af87a6776b225382fb9ce579')]",['docker-compose.yml'],/docker-compose.yml
"[(23, 317)]","[('84302910b8f0d00ee91756729493df9fc09a00aa', '8571376532a9dc3ee4d1f8e0465d24a3231bda50')]","['docker-compose-discovery-ha.yml', 'docker-compose.yml']",/docker-compose.yml
"[(318, 336)]","[('0336a8eb472617a22e5d6026db6ae0dcb2ae1318', 'd7aeae5675bcd901ec5431a8a7d141f73e40c00c')]","['docker-compose-discovery-ha.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/docker-compose.yml']",/docker-compose.yml
"[(337, 350)]","[('dead8793e8b9007ac6b94d9a54281f954521e3db', '18fa63ba6b4f00a5edb8223cc1c40c06c5822ff7')]","['docker-compose-discovery-ha.yml', 'docker-compose-shared_datadir.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/docker-compose.yml']",/docker-compose.yml
"[(351, 411)]","[('a7ad989b7445460372a3dfce697052dcef55afd1', '574445ba09d5530ba272dbe6b9f67b92b619ef19')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-shared_datadir.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/docker-compose.yml']",/docker-compose.yml
"[(412, 616)]","[('03f6d5e0221bc029036da22ac378645d660ac1ef', 'cd4741d65308252be0cf6b6acfd30d84bba8b48c')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-shared_datadir.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docker-compose.yml
"[(617, 740)]","[('99cb59c352726ef7483b9b51bd4ef7d3af3c8cd7', '58009bc6246853ab620deb917358da049f2e6e74')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-shared_datadir.yml', 'docker-compose-standalone.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docker-compose.yml
"[(741, 1025)]","[('a8ad5cecd00963f4829051120c8171fd4785af10', '5d0c51f74dd183ee0f2f296163c0805dcfc34072')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-localports.yml', 'docker-compose-shared_datadir.yml', 'docker-compose-standalone.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docker-compose.yml
"[(1026, 1067)]","[('d787395c5956a17c359287426bf065dc736b1d2e', 'b435c790a7d7d99e41ae779715f98450a31f7ef5')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-localports.yml', 'docker-compose-pgconfig.yml', 'docker-compose-shared_datadir.yml', 'docker-compose-standalone.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docker-compose.yml
"[(1068, 1257)]","[('b8a4fce50d901f69a37887ac1d6eec409dff59a5', 'b6edaf1a82dfb038796015892c61a7a319ca94c1')]","['docker-compose-discovery-ha.yml', 'docker-compose-jdbcconfig.yml', 'docker-compose-localports.yml', 'docker-compose-pgconfig.yml', 'docker-compose-shared_datadir.yml', 'docker-compose-standalone.yml', 'docker-compose.yml', 'docs/deploy/docker-compose/experimental/pgconfig/compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docker-compose.yml
"[(1258, 1282)]","[('fe115443c27a23321e81213ccd613ade4b027ced', 'a04c7f4f473edb6b062f28b2d6c4e5c23379821f')]","['compose/compose.yml', 'docs/deploy/docker-compose/experimental/pgconfig/compose.yml', 'docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml', 'docs/deploy/docker-compose/stable/shared_datadir/docker-compose.yml']",/docs/deploy/docker-compose/stable/jdbcconfig/docker-compose.yml
