CHUNKS_N,CHUNKS_H,DCFs,DC
"[(1, 1)]","[('d4a4459b4e6b5fc4ff4c62d92ffbbef7451ecda6', 'd4a4459b4e6b5fc4ff4c62d92ffbbef7451ecda6')]",[],
"[(2, 9)]","[('95535bffa85aa02fbfc91819deb06bd50e385575', '69ec6dfdf79860a8bb89a901d5af5a9a1badf983')]",['auth/deploy/compose/docker-compose.yml'],/auth/deploy/compose/docker-compose.yml
"[(10, 35)]","[('4a8edbd1ea8453cbca910df04e2b891e8ee28ea2', 'a40920903753e2efb40b8dca1e51881b774aa4b7')]","['adapter/deploy/compose/docker-compose.yml', 'auth/deploy/compose/docker-compose.yml']",/auth/deploy/compose/docker-compose.yml
"[(36, 43)]","[('6b035ad8f60c10886dc9e5796548a3c460426aa4', '26e8bbcc29769ad51ae3fe2c447c8ffb57287def')]","['adapter/deploy/compose/docker-compose.yml', 'auth/deploy/compose/docker-compose.yml', 'storage/deploy/compose/docker-compose.yml']",/auth/deploy/compose/docker-compose.yml
"[(44, 47)]","[('048483025d7f535a56d5af271c978feee69308e7', 'ff495519cbf6023eab930ef0bca2d30cd807a810')]","['adapter/deploy/compose/docker-compose.yml', 'auth/deploy/compose/docker-compose.yml', 'scheduler/deploy/compose/docker-compose.yml', 'storage/deploy/compose/docker-compose.yml']",/auth/deploy/compose/docker-compose.yml
"[(48, 151)]","[('576ef47c05d0989aaccf5fc5fb9e7cb8272332ed', 'a602c346fb401878342c98d10bc295ace4de7d71')]","['docker-compose.ci.yml', 'docker-compose.yml']",/docker-compose.yml
"[(152, 689)]","[('83cd504467d781c8f4ad482f70ce22cf370f9759', '311cbd347f8ba5f5007add7e30298efab81c3a30')]","['docker-compose.ci.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(690, 693)]","[('c31ffd71fd9c26265f18abd306f8eb2cab652de6', 'f3381193f983f32a6777edc9ac0576f60fe8b1c5')]","['docker-compose.it.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(694, 695)]","[('7fbb7f101563a724f5a346a02b8bda541bf7e99e', '9ef8f07a8b062d7a424d864de459e0aa655f3bea')]","['docker-compose.ci.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(696, 703)]","[('58cfdaab3e3ac7ee3c6e4601644ecbe362244bda', 'd83bf033d852d2ed4fec15b0c1f84d28eb6bd82d')]","['docker-compose.it.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(704, 706)]","[('dbef5e3233c87d04917efa88ac7e225ad931977a', '2a5d99352edcb4525a2552aa6e9e1f2390147f61')]","['docker-compose.ci.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(707, 1379)]","[('3ca6908c4400c4332a79ea4d0574b17ffbee5588', '31c226d242b8371fb5d0b5ca973ac1ca9cf36952')]","['docker-compose.it.yml', 'docker-compose.st.yml', 'docker-compose.yml']",/docker-compose.yml
"[(1380, 1394)]","[('c8e51fa2e93ebc21f286098c8ef832e672a67b88', '57e8070222b4703c76db856619f8605d0ce1409c')]","['docker-compose.it.yml', 'docker-compose.st.yml', 'docker-compose.yml', 'fault-tolerance-test/docker-compose.scheduler-init.yml']",/docker-compose.yml
"[(1395, 1402)]","[('49158c5834cfeb99d439386270b7852894f06eb6', 'b1b34fce9fd109d793563fd467c98c9f6ff3fb9f')]","['docker-compose.it.yml', 'docker-compose.pact.yml', 'docker-compose.st.yml', 'docker-compose.yml', 'fault-tolerance-test/docker-compose.scheduler-init.yml']",/docker-compose.yml
"[(1403, 1406)]","[('18ce8ead67e1cd58b7f8b9639bcdad4920efbff3', 'd9f77ad190b7cce284df8bc436363a1e023887cd')]","['docker-compose.it.yml', 'docker-compose.provider.yml', 'docker-compose.st.yml', 'docker-compose.yml', 'fault-tolerance-test/docker-compose.scheduler-init.yml', 'notification/pact/docker-compose.consumer.yml', 'ui/pact/docker-compose.consumer.yml']",/docker-compose.yml
"[(1407, 1428)]","[('fe76ed84d487ff82f6847dabf5efa13f0ce70dad', '843943f87762db286600891e7cbe79eca9745441')]","['docker-compose.consumer.yml', 'docker-compose.it.yml', 'docker-compose.provider.yml', 'docker-compose.st.yml', 'docker-compose.yml', 'fault-tolerance-test/docker-compose.scheduler-init.yml']",/docker-compose.yml
