CHUNKS_N,CHUNKS_H,DCFs,DC
"[(1, 1)]","[('edd30eabbcefdd50496df4bd2aa9cd9059963d94', 'edd30eabbcefdd50496df4bd2aa9cd9059963d94')]",[],
"[(2, 16)]","[('4098a02d5eaf1fa7f1975ec433b1f97035dd838a', 'b7d799a895cd65f7586d33c45d0271bcc03f602f')]",['docker-compose.yml'],/docker-compose.yml
"[(17, 18)]","[('96b34475a7f9ca28d4e9920edd575f12c33a1493', 'efb538afe7467245e059d4611a24fb90bd7777d6')]","['docker-compose.yml', 'ftgo-order-service/docker-compose-component-test.yml']",/docker-compose.yml
"[(19, 63)]","[('1a4cafd6a004ba0bb498a7b1f350ab2823d4686c', 'b9ddb8fed59eabc19fc54bba491d17df39530a74')]",['docker-compose.yml'],/docker-compose.yml
"[(64, 87)]","[('97853057058be9b37b513ac82d5e8c7dbdfcb80c', 'fd642b4ffb4628e13265bcf4ecfc2007b54f0ec6')]","['docker-compose-mariadb.yml', 'docker-compose.yml']",/docker-compose.yml
"[(88, 94)]","[('7414bd6204f86c65aac4a95a2057373bff571267', '5f10989594a4f1a6825e40f001414e0d96c32150')]","['docker-compose-mariadb.yml', 'docker-compose-mysql-schema-per-service.yml', 'docker-compose.yml']",/docker-compose.yml
"[(95, 98)]","[('7b084b2f749c7da1f7eaaa11912d0b963cc12fcd', 'd847a3ee655e54839a0bed31a46859f356feacf8')]","['docker-compose-mariadb.yml', 'docker-compose.yml']",/docker-compose.yml
"[(99, 101)]","[('7a1ad583f54a88c1fa8dfe8d0b1ba5b969acbbd9', '2a36a099c86455d0a5587991e9846b0e98fe430b')]","['docker-compose-mariadb.yml', 'docker-compose-mysql-schema-per-service.yml', 'docker-compose.yml']",/docker-compose.yml
"[(102, 103)]","[('aca6bebce13304338f3e64b07b338779ff62266d', '16a3aacecdb07464912db015c607f623a653cfc8')]","['docker-compose-mariadb.yml', 'docker-compose.yml']",/docker-compose.yml
"[(104, 104)]","[('168dda64764c855dcb2df349733a4ea68367d804', '168dda64764c855dcb2df349733a4ea68367d804')]","['docker-compose-mariadb.yml', 'docker-compose-mysql-schema-per-service.yml', 'docker-compose.yml']",/docker-compose.yml
"[(105, 107)]","[('59edfd0a79c81ba79a784bea02b310c3ca7d23be', '006e77b64cee2a7f282bfecb4793e46f37f98095')]","['docker-compose-mariadb.yml', 'docker-compose.yml']",/docker-compose.yml
"[(108, 113)]","[('35a0ed91d21c471c3eb0e0e977a3cb8fe6409fc6', '98c7c85cd802192a0a966543ed659f44df59b17a')]","['docker-compose-mariadb.yml', 'docker-compose-mysql-schema-per-service.yml', 'docker-compose.yml']",/docker-compose.yml
"[(114, 114)]","[('47a99c3c209c0e3a0212bd9527034d8485f982de', '47a99c3c209c0e3a0212bd9527034d8485f982de')]","['docker-compose-mariadb.yml', 'docker-compose.yml']",/docker-compose.yml
