CHUNKS_N,CHUNKS_H,DCFs,DC
"[(1, 3)]","[('03e80b55f6a115ffe497594b46e847c055d42b89', 'f2837cacb4288954f0546318c60da3c9a17bea57')]",[],
"[(4, 4)]","[('e5a4643a116fc07df500f0a1b5e85f85b57ad217', 'e5a4643a116fc07df500f0a1b5e85f85b57ad217')]","['services/saas/docker-compose.migrations.yml', 'services/saas/docker-compose.override.yml', 'services/saas/docker-compose.yml']",services/saas/docker-compose.yml
"[(5, 743)]","[('516306b5a490d0ba0cde73d7605e0b994803219b', 'a0396e0ffe2f913f16b25b491fa7c691a251350c')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(744, 744)]","[('6cd8f090105a57e2cbf01abee88b84826ded94d2', '6cd8f090105a57e2cbf01abee88b84826ded94d2')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(745, 746)]","[('e6c0dae2bc32224805e40cb8518f110be24f100a', 'f61cf5ffb6c9bd57674e4096bcd9b3c6b4ab8983')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(747, 747)]","[('5a4448f715bfd08d5d0ca0481b6358f528a49008', '5a4448f715bfd08d5d0ca0481b6358f528a49008')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(748, 806)]","[('381abe6d875988861135270603db2211999e80b1', '6c9fee5864ee1002fa58cc2ac61c57da5582acdb')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(807, 807)]","[('0e6f62691a5cef385b0485689980ba2990b7f394', '0e6f62691a5cef385b0485689980ba2990b7f394')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(808, 833)]","[('e55ce11c4ee72256f8c7732221b502bc08959079', 'b40559711369dd185ba8f9f48b6d27419cca7f44')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(834, 834)]","[('0af5ace773208d4fb559f7385cf0c170e09d587f', '0af5ace773208d4fb559f7385cf0c170e09d587f')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(835, 848)]","[('2f01f7194e8c31faa29321b9d9ce6e7161844606', '7c3ab8f323285354474d568c4f1bd6f5cd4c58fb')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(849, 851)]","[('d745491140f213a90e7b826d305f70bc080abbb0', '10ea11d205a01ccc7bfb41b4f6b91acb07abd33e')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(852, 853)]","[('aa99b3dd14f4d2e26444be91eec08e7032265f49', '5e01643572090bff1e486158552c75ddeb4902e9')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(854, 854)]","[('00f199308bfc1e9bd859adf36b4cc08d7aad35f2', '00f199308bfc1e9bd859adf36b4cc08d7aad35f2')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
"[(855, 855)]","[('d274670df0a3f64d3518b7d3c430b1d04bb8e7de', 'd274670df0a3f64d3518b7d3c430b1d04bb8e7de')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml']",
"[(856, 1319)]","[('b061c6fb4d69970652d28f80661b639a7d35a56d', 'f66ad6c5a27635224549aebc6ceea92547341bd9')]","['etc/docker/docker-compose.infrastructure.override.yml', 'etc/docker/docker-compose.infrastructure.yml', 'etc/docker/docker-compose.yml']",etc/docker/docker-compose.yml
