CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 1)]","[('d48abe8ae06bd7bd1516be4e2b336525075ed044', 'd48abe8ae06bd7bd1516be4e2b336525075ed044')]",set(),set(),[]
"[(2, 26)]","[('aacecdcb518b90db3f22493bd928e2e05f3d6333', '2ab7311bbf605de1daee2286f575c08b39d41e37')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='pitstop/notificationservice', build=None, container_name='notificationservice'), Container(image='pitstop/webapp', build=None, container_name='webapp'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='pitstop/customermanagementapi', build=None, container_name='customermanagementapi'), Container(image='pitstop/workshopmanagementapi', build=None, container_name='workshopmanagementapi'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/timeservice', build=None, container_name='timeservice'), Container(image='pitstop/vehiclemanagementapi', build=None, container_name='vehiclemanagementapi'), Container(image='pitstop/invoiceservice', build=None, container_name='invoiceservice'), Container(image='pitstop/auditlogservice', build=None, container_name='auditlogservice'), Container(image='pitstop/workshopmanagementeventhandler', build=None, container_name='workshopmanagementeventhandler')}","['src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(27, 44)]","[('d723e7e5810b561214be95c03a97a9d9efcc1391', 'a285efee455f34ba5330f6b9b2f6abac76cc123a')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(45, 50)]","[('0f2f9e3416e033ddcc658f890aa4bedb701a54eb', 'dc5aae7cba969f9479e17fa67cd52ef11ee0490f')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'apigateway', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi_2', 'workshopmanagementapi_1'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_1'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_2'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='pitstop/apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='apigateway'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/APIGateway/Dockerfile', 'src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(51, 51)]","[('eed48352b65144eadb1158cfb8897a427b1be02d', 'eed48352b65144eadb1158cfb8897a427b1be02d')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'apigateway', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi_2', 'workshopmanagementapi_1'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_1'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='datalust/seq', build=None, container_name='loggingserver'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_2'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='pitstop/apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='apigateway'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/APIGateway/Dockerfile', 'src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(52, 74)]","[('7784c50f4fb405a6eaad25e1bc00298d068a4e1e', '90c4d76c8347cf3007da1b2a440f73908cc8a7d4')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'apigateway', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi_2', 'workshopmanagementapi_1'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_1'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi_2'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='pitstop/apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='apigateway'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/APIGateway/Dockerfile', 'src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(75, 115)]","[('94a616fb38b97a97b778d4c675d1d246e5b003ce', '6f071b2456399fc30ef161f6f65e873d0832ffd3')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'apigateway', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='consul', build=None, container_name='discoveryservice'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='pitstop/apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='apigateway'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/APIGateway/Dockerfile', 'src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(116, 281)]","[('bb9282be35f3c1c6279a836d86f755de31e8cea8', 'ce7fe687f6be4b7a0315c4156cd5c4782e6e7fa7')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(282, 303)]","[('853829ed31e64ca5823856c83f38e8a824352dcb', 'd31c4063bd084ca0b141dc15ae5193fb58f9dfa7')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi'), Container(image='maildev/maildev', build=None, container_name='mailserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
"[(304, 346)]","[('e689b4c1e1dbbfc1f863ef50d9167630156f54e6', '7e4d2eb55eaa1d3657976f1041f74cb382ca6855')]","{'timeservice', 'workshopmanagementeventhandler', 'mailserver', 'vehiclemanagementapi', 'sqlserver', 'logserver', 'notificationservice', 'auditlogservice', 'webapp', 'customermanagementapi', 'invoiceservice', 'workshopmanagementapi'}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sqlserver'), Container(image='pitstop/vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='vehiclemanagementapi'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='pitstop/workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementapi'), Container(image='maildev/maildev', build=None, container_name='mailserver'), Container(image='pitstop/invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='invoiceservice'), Container(image='pitstop/notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='notificationservice'), Container(image='pitstop/timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='timeservice'), Container(image='pitstop/webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='webapp'), Container(image='pitstop/workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='workshopmanagementeventhandler'), Container(image='pitstop/customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='customermanagementapi'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='pitstop/auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auditlogservice')}","['src/AuditlogService/Dockerfile', 'src/CustomerManagementAPI/Dockerfile', 'src/InvoiceService/Dockerfile', 'src/NotificationService/Dockerfile', 'src/TimeService/Dockerfile', 'src/VehicleManagementAPI/Dockerfile', 'src/WebApp/Dockerfile', 'src/WorkshopManagementAPI/Dockerfile', 'src/WorkshopManagementEventHandler/Dockerfile']"
