CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 4)]","[('e5563528759063a84af10931e0cb7b4961d045fa', '9f0ae7c6eb8cfe21d1185b398638242bee5ac70b')]",set(),set(),[]
"[(5, 6)]","[('6318176d55cfb5d433de65ce32df9c16056b3cd7', 'c8373731b2cff98db293e4b3ce8f9896ae535146')]","{'identity.api', 'sql.data'}","{Container(image='redis', build=None, container_name='basket.data'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), container_name='identity.api')}",['src/Services/Identity/Identity.API/Dockerfile']
"[(7, 31)]","[('0c388c8a8298fdbbb8988e54d02271f64703d923', '87df034d5b7ef3619a9f2c227c545583c32288da')]","{'identity.api', 'sql.data'}","{Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), container_name='identity.api')}",['src/Services/Identity/Identity.API/Dockerfile']
"[(32, 76)]","[('9df18280e4b3bf4230f4781ba03092e3d8fcf635', 'c606098cac1f8d83e835073a881e8f6db10e9367')]","{'enrolling.api', 'identity.api', 'sql.data'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), container_name='identity.api')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/Identity/Identity.API/Dockerfile']"
"[(77, 110)]","[('56a861da1440ab2771befa1a19a8aff185ef9bb6', '31da2f5ab74285beabe860874ad837f049bb9f88')]","{'enrolling.api', 'identity.api', 'sql.data', 'webstatus'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), container_name='identity.api')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/Identity/Identity.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(111, 123)]","[('a10ad824b7ff60b038019055605f2fa056badf65', '8b3fbee318278f16df97ccaffb7d6a7617578127')]","{'seq', 'webstatus', 'identity.api', 'sql.data', 'enrolling.api'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), container_name='identity.api')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/Identity/Identity.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(124, 133)]","[('62af44a5c22bd198491bc95684b0a136f0a2b9cd', '70f7d756c133e58ac02bb517b7a498cefd0706e4')]","{'enrolling.api', 'sql.data', 'seq', 'webstatus'}","{Container(image='datalust/seq', build=None, container_name='seq'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(134, 134)]","[('a98d0744cea0ad96218d616dc934b7dfbda3eba2', 'a98d0744cea0ad96218d616dc934b7dfbda3eba2')]","{'enrolling.api', 'sql.data', 'seq', 'webstatus'}","{Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(135, 163)]","[('41ff3f6ace0632fc4803226841b6d914a09a8716', 'a03d284d9ccdeb4127ce4377084557ffffb82120')]","{'seq', 'joining.api', 'webstatus', 'sql.data', 'enrolling.api'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Joining/Joining.API/Dockerfile', remote=False, absolute=False), container_name='joining.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/Joining/Joining.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(164, 175)]","[('eb751ded855a5923ef1f42707c9476e87e36a825', 'c265a7f034044a0cda152d3c63ada8ee13bf54d7')]","{'seq', 'joining.api', 'webstatus', 'sql.data', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Joining/Joining.API/Dockerfile', remote=False, absolute=False), container_name='joining.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/Joining/Joining.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(176, 181)]","[('d5835ca5eca40b89fd7a54c7ddb87a41189ab9a3', '16abcfe912f79e76a726d5eb435289528529f587')]","{'seq', 'webstatus', 'sql.data', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(182, 184)]","[('dc0e8132d914f509cf4429610abb85cd62d0ce10', '813d0330d231ec6ba5f07d744ffd36cc891996ee')]","{'seq', 'eschool.graphql', 'webstatus', 'sql.data', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), container_name='eschool.graphql'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/ApiGateways/eSchool.GraphQL/Dockerfile', 'src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(185, 239)]","[('9740132e99b6f78f09d93992f5c575e16521eedd', '7f864bf133926035b422a756b0c00eb3cce57fa4')]","{'seq', 'eschool.graphql', 'webstatus', 'frontend.blazor', 'sql.data', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), container_name='eschool.graphql'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', remote=False, absolute=False), container_name='frontend.blazor'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/ApiGateways/eSchool.GraphQL/Dockerfile', 'src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(240, 265)]","[('a0e76a704eecee8c06b331ed5221909df47dcb72', '4ecf4df9ab257e78b9ce9beb2422495ad45a2c08')]","{'seq', 'eschool.graphql', 'webstatus', 'frontend.blazor', 'sql.data', 'certificateprocessing.api', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), container_name='eschool.graphql'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/CertificateProcessing/CertificateProcessing.API/Dockerfile', remote=False, absolute=False), container_name='certificateprocessing.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', remote=False, absolute=False), container_name='frontend.blazor'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/ApiGateways/eSchool.GraphQL/Dockerfile', 'src/Services/CertificateProcessing/CertificateProcessing.API/Dockerfile', 'src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
"[(266, 275)]","[('a907392ba0047eadf4b943746954202435e60b79', '46b19b553096c605ac96194f4e5a3b022ae9cf6b')]","{'seq', 'librarymanagement.api', 'exammanagement.api', 'eschool.graphql', 'webstatus', 'frontend.blazor', 'sql.data', 'certificateprocessing.api', 'resultprocessing.api', 'enrolling.api', 'jaeger'}","{Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/ExamManagement/ExamManagement.API/Dockerfile', remote=False, absolute=False), container_name='exammanagement.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), container_name='enrolling.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), container_name='eschool.graphql'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/CertificateProcessing/CertificateProcessing.API/Dockerfile', remote=False, absolute=False), container_name='certificateprocessing.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', remote=False, absolute=False), container_name='frontend.blazor'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/ResultProcessing/ResultProcessing.API/Dockerfile', remote=False, absolute=False), container_name='resultprocessing.api'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), container_name='webstatus'), Container(image='${REGISTRY', build=Build(context='.', rel_dockerfile='src/Services/LibraryManagement/LibraryManagement.API/Dockerfile', remote=False, absolute=False), container_name='librarymanagement.api'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}","['src/ApiGateways/eSchool.GraphQL/Dockerfile', 'src/Services/CertificateProcessing/CertificateProcessing.API/Dockerfile', 'src/Services/Enrolling/Enrolling.API/Dockerfile', 'src/Services/ExamManagement/ExamManagement.API/Dockerfile', 'src/Services/LibraryManagement/LibraryManagement.API/Dockerfile', 'src/Services/ResultProcessing/ResultProcessing.API/Dockerfile', 'src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', 'src/Web/WebStatus/Dockerfile']"
