CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 102)]","[('5169e13088bcf2063d87e8daeae3dcb66ff6ce9f', 'e9dccaffb135aae565f5eb093f36026f495d6636')]",set(),set(),[]
"[(103, 116)]","[('c326a455c9b8060e59ba86a521965c5c1f6dc282', 'd16ef7ba83380f8826c6b07709d07ae2da3e8c53')]","{'zipkin', 'mn-product-service', 'mn-web-vue', 'mn-payment-service', 'mn-pricing-service', 'mn-policy-service', 'mn-auth-service'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'payment-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(117, 123)]","[('c48fa8de76f8ed52b62aa7ff4979b0576cc4232e', 'd84ae7ddee7e1de6eeea8bf71f01559bae235ecf')]","{'zipkin', 'mn-product-service', 'mn-web-vue', 'mn-payment-service', 'mn-pricing-service', 'mn-policy-service', 'mn-auth-service'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(124, 129)]","[('a327879e970cf41cea7956bdb3bd2d12ae099b64', '500046aaf01acc1654f61e446b74865d7f557f8a')]","{'zipkin', 'mn-policy-service'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(130, 162)]","[('ecd7ba773033e8256686a03acac0fc5c042e71d4', 'a4bab772e420db5f0773c1a4fd4ce514d58dbbc1')]","{'zipkin', 'mn-product-service', 'mn-web-vue', 'mn-payment-service', 'mn-pricing-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-auth-service'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='mn-policy-searh-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(163, 192)]","[('f0e2023ed4b09f541b510010700c2c31363cabc4', 'cf15e04d15b53706337c0419fd023e3f33f0f456')]","{'zipkin', 'mn-product-service', 'mn-web-vue', 'mn-payment-service', 'mn-pricing-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-auth-service'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='mn-policy-searh-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'documents-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(193, 203)]","[('bc690b2c9267ae63b11526efad7853ee566525bf', 'db82a0af40eb2625bdbfa71617deba6a7ac560f1')]","{'zipkin', 'mn-product-service', 'mn-documents-service', 'mn-web-vue', 'mn-payment-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-pricing-service', 'mn-auth-service', 'jsreport'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-documents-service'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='mn-policy-searh-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'documents-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(204, 219)]","[('7074b54dd4cd4016fbc8f0710e3b33cca208b8a8', 'c1b58455e832d3ff1676cece6cd4083f55769c03')]","{'mn-chat-service', 'zipkin', 'mn-product-service', 'mn-documents-service', 'mn-web-vue', 'mn-payment-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-pricing-service', 'mn-auth-service', 'jsreport'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-documents-service'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='mn-policy-searh-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-chat-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'chat-service/Dockerfile', 'documents-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(220, 247)]","[('6515ae65aa62377c27d8bda95218f3c9f1958056', '9835bb368fedc967998025952b6fdf173683a7dd')]","{'mn-chat-service', 'zipkin', 'mn-product-service', 'mn-documents-service', 'mn-web-vue', 'mn-payment-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-pricing-service', 'elasticsearch', 'mn-auth-service', 'jsreport'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-documents-service'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='mn-policy-searh-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-chat-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='docker.elastic.co/elasticsearch/elasticsearch', build=None, container_name='elasticsearch'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'chat-service/Dockerfile', 'documents-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(248, 292)]","[('1101d2de9cbffd605dc0ed1d41f4e7189a6e636e', 'd327778020680008d5df470d23b9518e4a363c0a')]","{'mn-chat-service', 'zipkin', 'mn-product-service', 'mn-documents-service', 'mn-web-vue', 'mn-payment-service', 'mn-policy-service', 'mn-policy-search-service', 'mn-pricing-service', 'elasticsearch', 'mn-auth-service', 'jsreport'}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-documents-service'), Container(image='consul', build=None, container_name='consul'), Container(image='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-auth-service'), Container(image='mongo', build=None, container_name='mongo'), Container(image='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-service'), Container(image='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-product-service'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-agent-portal-gateway'), Container(image='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-chat-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='docker.elastic.co/elasticsearch/elasticsearch', build=None, container_name='elasticsearch'), Container(image='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-web-vue'), Container(image='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-pricing-service'), Container(image='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-payment-service'), Container(image='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mn-policy-search-service')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'chat-service/Dockerfile', 'documents-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'policy-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
