CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 47)]","[('d4a4459b4e6b5fc4ff4c62d92ffbbef7451ecda6', 'ff495519cbf6023eab930ef0bca2d30cd807a810')]",set(),set(),[]
"[(48, 49)]","[('576ef47c05d0989aaccf5fc5fb9e7cb8272332ed', '83f520077dd30d14fb7daba5c5248e83fb090ef4')]","{'storage-service-db-liquibase', 'storage-service-db-ui', 'scheduler-service', 'storage-service-swagger', 'storage-service', 'adapter-service'}","{Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image=None, build=Build(context='storage/docker/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image=None, build=Build(context='storage/docker/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image='jboss/keycloak', build=None, container_name='auth-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/docker/liquibase/Dockerfile', 'storage/docker/postgrest/Dockerfile', 'storage/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(50, 53)]","[('04c242c0e5c12b6d52da38e2a607c15fa4bcbdbb', '766fa28152ea4cc5125192f98de9bc5089556fb0')]","{'core-service', 'storage-service-db-liquibase', 'storage-service-db-ui', 'scheduler-service', 'storage-service-swagger', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image=None, build=Build(context='storage/docker/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image=None, build=Build(context='storage/docker/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='jboss/keycloak', build=None, container_name='auth-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/docker/liquibase/Dockerfile', 'storage/docker/postgrest/Dockerfile', 'storage/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(54, 59)]","[('0634e4ccab9e72fb6cad2e66b0023773326495ec', 'c4102a0ece56bba4df254cbf547ba2176ae27200')]","{'core-service', 'storage-service-db-liquibase', 'storage-service-db-ui', 'scheduler-service', 'storage-service-swagger', 'transformation-service', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image=None, build=Build(context='storage/docker/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image=None, build=Build(context='storage/docker/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='jboss/keycloak', build=None, container_name='auth-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/docker/liquibase/Dockerfile', 'storage/docker/postgrest/Dockerfile', 'storage/integration-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(60, 137)]","[('b76f52a9e0c55aaf41c5c0342dd10b52efb6bc8f', '5d5985c2c32fa95d07f5a55cc77df066bc018eb1')]","{'core-service', 'storage-service-db-liquibase', 'storage-service-db-ui', 'scheduler-service', 'ui-service', 'storage-service-swagger', 'transformation-service', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image=None, build=Build(context='storage/docker/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='traefik', build=None, container_name='edge-server'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image=None, build=Build(context='storage/docker/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='jboss/keycloak', build=None, container_name='auth-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/docker/liquibase/Dockerfile', 'storage/docker/postgrest/Dockerfile', 'storage/integration-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(138, 151)]","[('3531be4787c236d2e33260087e14f4d13c975a06', 'a602c346fb401878342c98d10bc295ace4de7d71')]","{'core-service', 'storage-service-db-liquibase', 'auth-service', 'storage-service-db-ui', 'scheduler-service', 'ui-service', 'storage-service-swagger', 'transformation-service', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/auth-service', build=Build(context='auth', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auth-service'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image='traefik', build=None, container_name='edge-server'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-postgrest', build=Build(context='storage/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-liquibase', build=Build(context='storage/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'auth/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/integration-test/Dockerfile', 'storage/liquibase/Dockerfile', 'storage/postgrest/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(152, 193)]","[('83cd504467d781c8f4ad482f70ce22cf370f9759', 'ff82fafdfcb8a71e860e47a7d7ca055f1701da2a')]","{'core-service', 'storage-service-db-liquibase', 'auth-service', 'storage-service-db-ui', 'scheduler-service', 'ui-service', 'storage-service-swagger', 'transformation-service', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/auth-service', build=Build(context='auth', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auth-service'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image='traefik', build=None, container_name='edge-server'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-postgrest', build=Build(context='storage/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-liquibase', build=Build(context='storage/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'auth/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/integration-test/Dockerfile', 'storage/liquibase/Dockerfile', 'storage/postgrest/Dockerfile', 'system-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(194, 221)]","[('9426e13d0bf55ca3cfa712872dc728e74be6d97e', '2370f9a8fc9b50fe498199bf629d39f8522d70ff')]","{'ui', 'storage', 'storage-db-liquibase', 'auth', 'scheduler', 'adapter', 'storage-db-ui', 'storage-swagger', 'core', 'transformation'}","{Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter'), Container(image='traefik', build=None, container_name='edge'), Container(image='postgres', build=None, container_name='auth-db'), Container(image='adminer', build=None, container_name='storage-db-ui'), Container(image='postgres', build=None, container_name='storage-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-liquibase', build=Build(context='storage/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-db-liquibase'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-swagger'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-postgrest', build=Build(context='storage/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage'), Container(image='postgres', build=None, container_name='core-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/auth-service', build=Build(context='auth', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auth')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'auth/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/integration-test/Dockerfile', 'storage/liquibase/Dockerfile', 'storage/postgrest/Dockerfile', 'system-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(222, 222)]","[('e4d51c56a919ddf81d4399436816ab247e853841', 'e4d51c56a919ddf81d4399436816ab247e853841')]","{'core-service', 'storage-service-db-liquibase', 'auth-service', 'storage-service-db-ui', 'scheduler-service', 'ui-service', 'storage-service-swagger', 'transformation-service', 'storage-service', 'adapter-service'}","{Container(image='postgres', build=None, container_name='core-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/auth-service', build=Build(context='auth', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auth-service'), Container(image='adminer', build=None, container_name='storage-service-db-ui'), Container(image='traefik', build=None, container_name='edge-server'), Container(image='postgres', build=None, container_name='storage-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-postgrest', build=Build(context='storage/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-service-swagger'), Container(image='postgres', build=None, container_name='auth-service-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-liquibase', build=Build(context='storage/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-service-db-liquibase'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core-service'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler-service')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'auth/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/integration-test/Dockerfile', 'storage/liquibase/Dockerfile', 'storage/postgrest/Dockerfile', 'system-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
"[(223, 274)]","[('3bee4afde0b1c19d738a084682a0c67c04650f01', 'c074392fc3ff0ba7181195c3f147329227300031')]","{'ui', 'storage', 'storage-db-liquibase', 'auth', 'scheduler', 'adapter', 'storage-db-ui', 'storage-swagger', 'core', 'transformation'}","{Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='transformation'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/ui-service', build=Build(context='ui', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ui'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adapter'), Container(image='traefik', build=None, container_name='edge'), Container(image='postgres', build=None, container_name='auth-db'), Container(image='adminer', build=None, container_name='storage-db-ui'), Container(image='postgres', build=None, container_name='storage-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-liquibase', build=Build(context='storage/liquibase', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage-db-liquibase'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='core'), Container(image='swaggerapi/swagger-ui', build=None, container_name='storage-swagger'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/storage-service-postgrest', build=Build(context='storage/postgrest', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='storage'), Container(image='postgres', build=None, container_name='core-db'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='scheduler'), Container(image='registry.gitlab.com/profoss/open-data-service/ods-main/auth-service', build=Build(context='auth', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='auth')}","['adapter/Dockerfile', 'adapter/integration-test/Dockerfile', 'auth/Dockerfile', 'core/Dockerfile', 'core/integration-test/Dockerfile', 'scheduler/Dockerfile', 'scheduler/integration-test/Dockerfile', 'storage/integration-test/Dockerfile', 'storage/liquibase/Dockerfile', 'storage/postgrest/Dockerfile', 'system-test/Dockerfile', 'transformation/Dockerfile', 'transformation/integration-test/Dockerfile', 'ui/Dockerfile']"
