CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 1)]","[('edd30eabbcefdd50496df4bd2aa9cd9059963d94', 'edd30eabbcefdd50496df4bd2aa9cd9059963d94')]",set(),set(),[]
"[(2, 6)]","[('4098a02d5eaf1fa7f1975ec433b1f97035dd838a', '49f9caddd87db3784c0a0e6c9c4c3d7b00d75f2a')]","{'ftgoaccountingservice', 'ftgoorderhistoryservice', 'ftgoconsumerservice', 'eventuatelocalcdcservice', 'ftgoorderservice', 'ftgorestaurantservice', 'ftgorestaurantorderservice'}","{Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgoconsumerservice'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tramcdcservice'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgoaccountingservice'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgoapigateway'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgorestaurantorderservice'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuatelocalcdcservice'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgorestaurantservice'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgoorderservice'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgoorderhistoryservice'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql')}","['ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(7, 9)]","[('db778ecfc80eeb335b92101d67f351c8f991cd54', 'b7ce7f5043c80ffb2a4fd6406d0be38e5726a601')]","{'ftgo-order-service', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(10, 21)]","[('85e079f2731e6b98a1f6f45a871edaaffda6a520', '9b7a21662ca73ed94ccc396348b2e42a4343907a')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(22, 22)]","[('9ce1e6b8b3e28bc407cffdfd69d0d6c97d938ee3', '9ce1e6b8b3e28bc407cffdfd69d0d6c97d938ee3')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal-init/Dockerfile', 'dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(23, 24)]","[('398f7ce43ea0cc04dbd8c02932e4b007713ce4f4', 'f4ef3bd6af484862db6966bb848a78deffa29510')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(25, 29)]","[('e34ea9819df06d986d5f1c831fcd84e9cb9f1e97', 'fcfc3d7cab2fae11ccd0acafaea87114daef0464')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal-init/Dockerfile', 'dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(30, 30)]","[('076f44c70bf449e407bbdd6e4befc6aa593e55db', '076f44c70bf449e407bbdd6e4befc6aa593e55db')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal-init/Dockerfile', 'dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(31, 44)]","[('681f368ad1a092ed28301a1d22830bc70a817d68', '766a135de5b8edd3226bd5718cb6567c52e9c01b')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal-init/Dockerfile', 'dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
"[(45, 48)]","[('1336a78956a720fc3f10105a10ff619c537f4fc2', 'bc1bffec601afba173a1380469a8a117536cc55b')]","{'ftgo-order-service', 'dynamodblocal', 'eventuate-local-cdc-service', 'ftgo-order-history-service', 'ftgo-restaurant-service', 'ftgo-restaurant-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-consumer-service'}","{Container(image=None, build=Build(context='dynamodblocal', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='dynamodblocal'), Container(image='eventuateio/eventuateio-local-cdc-service', build=None, container_name='eventuate-local-cdc-service'), Container(image='eventuateio/eventuateio-local-kafka', build=None, container_name='kafka'), Container(image=None, build=Build(context='ftgo-order-history-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-history-service'), Container(image=None, build=Build(context='ftgo-restaurant-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-service'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image=None, build=Build(context='mysql', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='mysql'), Container(image='eventuateio/eventuate-tram-cdc-mysql-service', build=None, container_name='tram-cdc-service'), Container(image=None, build=Build(context='ftgo-accounting-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-accounting-service'), Container(image=None, build=Build(context='ftgo-api-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-api-gateway'), Container(image=None, build=Build(context='ftgo-consumer-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-consumer-service'), Container(image=None, build=Build(context='ftgo-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-order-service'), Container(image='eventuateio/eventuateio-local-zookeeper', build=None, container_name='zookeeper'), Container(image=None, build=Build(context='ftgo-restaurant-order-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='ftgo-restaurant-order-service')}","['dynamodblocal-init/Dockerfile', 'dynamodblocal/Dockerfile', 'ftgo-accounting-service/Dockerfile', 'ftgo-api-gateway/Dockerfile', 'ftgo-consumer-service/Dockerfile', 'ftgo-order-history-service/Dockerfile', 'ftgo-order-service/Dockerfile', 'ftgo-restaurant-order-service/Dockerfile', 'ftgo-restaurant-service/Dockerfile', 'mysql/Dockerfile']"
