CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 6)]","[('c0b9446394682ba43f800271012972f8b22c648a', '07eee228862da641515db1b4e8494743d4217d7a')]",set(),set(),[]
"[(7, 434)]","[('12a148a1d90b42c9b7d742114cd8b3984f6a9a62', '303808b6171a89e4e5f69b48a349ee8738936f51')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(435, 511)]","[('fd4f87ea6500e7490fbcf7069169c5ac69998f6d', '8ceca4212568c0d2c211a7afe199a983767e9cba')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(512, 513)]","[('5566ff5d93506545826f6e5a3b761d533e87d689', '8bc87373670234a1fb035c80302d06a1a0452d65')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}podcastminapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(514, 514)]","[('825cf2872ab3d0d062c395327e7b355ff84d075c', '825cf2872ab3d0d062c395327e7b355ff84d075c')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(515, 520)]","[('4b30de1c37140305d75d562fd8894e9404f80cda', 'afc6cde8f64d6a30b87e13778c25f00b54958ea1')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}podcastminapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(521, 521)]","[('5358abca48ff02c8e68099b24c15a435126e31da', '5358abca48ff02c8e68099b24c15a435126e31da')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(522, 523)]","[('da813c4d543ce2f0cdd795b464a83e335fcfb172', '18d41141c836336d90fa681a2c1654df1a111350')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(524, 524)]","[('ea56325188cac9b3313bac69f3587126de1b76c2', 'ea56325188cac9b3313bac69f3587126de1b76c2')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}podcastminapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
"[(525, 526)]","[('a954c17fa4000e0dff713c0b92f70d90dc7a18fd', '127c21525cc25bf69b0dabf5e89e6dff05c9e4bf')]","{'podcast.ingestion.worker', 'storage', 'podcast.web', 'podcast.db', 'podcast.api', 'listentogether.hub', 'podcast.updater.worker'}","{Container(image='${DOCKER_REGISTRY-}podcastupdaterworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.updater.worker'), Container(image='mcr.microsoft.com/azure-storage/azurite', build=None, container_name='storage'), Container(image='${DOCKER_REGISTRY-}listentogetherhub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), container_name='listentogether.hub'), Container(image='${DOCKER_REGISTRY-}podcastapi', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), container_name='podcast.api'), Container(image='${DOCKER_REGISTRY-}podcastweb', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), container_name='podcast.web'), Container(image='${DOCKER_REGISTRY-}podcastingestionworker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), container_name='podcast.ingestion.worker'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='podcast.db')}","['src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', 'src/Services/Podcasts/Podcast.API/Dockerfile', 'src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', 'src/Services/Podcasts/Podcast.MinimalAPI/Dockerfile', 'src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', 'src/Web/Server/Dockerfile']"
