CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 21)]","[('75bf84fa773cf7066ec40ccbe400f5d734a2b4b9', '5a382742d233f87c862089769ef0d3e8ce67777b')]",set(),set(),[]
"[(22, 29)]","[('020564b32f716497f1bd6eff40cd70710df1642b', 'f7b37a01fe9cd4b2d27a5b2ab4b5770656089a48')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image=None, build=Build(context='src/recommendationservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image=None, build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image=None, build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image=None, build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image=None, build=Build(context='src/productcatalogservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image=None, build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image=None, build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image=None, build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image=None, build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image=None, build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image=None, build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(30, 35)]","[('c8f18298bf9123642c387f517e0d8db9c7c8f60d', '1cd699563ba89ad640fd11c3d7203fcbbca89b37')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image=None, build=Build(context='src/recommendationservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image=None, build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image=None, build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image=None, build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image=None, build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image=None, build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image=None, build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image=None, build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image=None, build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image=None, build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(36, 36)]","[('02cd9411ca30c5e22663edbd7fcacd89ca98b4d3', '02cd9411ca30c5e22663edbd7fcacd89ca98b4d3')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image=None, build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image=None, build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image=None, build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image=None, build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image=None, build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image=None, build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image=None, build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image=None, build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image=None, build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image=None, build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(37, 37)]","[('a6b6abb57de867a730b1cc1be676bef8fbfa0018', 'a6b6abb57de867a730b1cc1be676bef8fbfa0018')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image=None, build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image=None, build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image=None, build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image=None, build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image=None, build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image=None, build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image=None, build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image=None, build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image=None, build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(38, 43)]","[('8aeaf73d25db28a6e9f504ef88a0948177febbb4', '3098aa995d592f22695da53b4577499ff04e63d6')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image=None, build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image=None, build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image=None, build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image=None, build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image=None, build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image=None, build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image=None, build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image=None, build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image=None, build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(44, 49)]","[('0273a58bcecad6b89df5dcda0d859a7dcdd71d8d', '241322b22de876c455eae505d4c763020a728c1a')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='adservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(50, 50)]","[('0bd9f8988a4e62133561047e1607aa9d8d1ab425', '0bd9f8988a4e62133561047e1607aa9d8d1ab425')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), container_name='adservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(51, 51)]","[('b83a8d16d0b12b2cb6a8c3b5af7636f92945306b', 'b83a8d16d0b12b2cb6a8c3b5af7636f92945306b')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/paymentservice/Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), container_name='adservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(52, 52)]","[('982cefedaa504a52b658e32d45e4d5f5a8ca68bd', '982cefedaa504a52b658e32d45e4d5f5a8ca68bd')]","{'checkoutservice', 'paymentservice', 'adservice', 'recommendationservice', 'otelcol', 'productcatalogservice', 'emailservice', 'frontend', 'loadgenerator', 'cartservice', 'shippingservice', 'currencyservice', 'jaeger'}","{Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='checkoutservice'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='currencyservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='emailservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/paymentservice/Dockerfile', remote=False, absolute=False), container_name='paymentservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/cartservice/src/Dockerfile', remote=False, absolute=False), container_name='cartservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), container_name='loadgenerator'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='shippingservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), container_name='recommendationservice'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), container_name='frontend'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), container_name='productcatalogservice'), Container(image='redis', build=None, container_name='redis-cart'), Container(image='ghcr.io/open-telemetry/demo', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), container_name='adservice')}","['src/adservice/Dockerfile', 'src/cartservice/src/Dockerfile', 'src/checkoutservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/frontend/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/productcatalogservice/Dockerfile', 'src/recommendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
