CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 526)]","[('349fdef18bcf688709f19097c140c69724905768', '422bad170713b151c79f780c216c459bd2378e7f')]",set(),set(),[]
"[(527, 533)]","[('187e240fee8029e6d5b1b2dd7ddeb71543a42b35', '5a39df887485b531a368738b86bd6a311cd040c8')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}","['spring-petclinic-api-gateway/src/main/docker/Dockerfile', 'spring-petclinic-config-server/src/main/docker/Dockerfile', 'spring-petclinic-customers-service/src/main/docker/Dockerfile', 'spring-petclinic-discovery-server/src/main/docker/Dockerfile', 'spring-petclinic-tracing-server/src/main/docker/Dockerfile', 'spring-petclinic-vets-service/src/main/docker/Dockerfile', 'spring-petclinic-visits-service/src/main/docker/Dockerfile']"
"[(534, 538)]","[('31cd26286c5efaf07ab0e2cc665931e501798c8d', 'd23ceb1040b4912a57a5e20539635ec2e413bdc1')]",set(),set(),[]
"[(539, 549)]","[('82939fc04025bdf5b8f6555ebb3658acc953b9ea', 'd48d31ea921e3cb556dc906834435622b8dfd54a')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}","['spring-petclinic-api-gateway/src/main/docker/Dockerfile', 'spring-petclinic-config-server/src/main/docker/Dockerfile', 'spring-petclinic-customers-service/src/main/docker/Dockerfile', 'spring-petclinic-discovery-server/src/main/docker/Dockerfile', 'spring-petclinic-tracing-server/src/main/docker/Dockerfile', 'spring-petclinic-vets-service/src/main/docker/Dockerfile', 'spring-petclinic-visits-service/src/main/docker/Dockerfile']"
"[(550, 552)]","[('b9a803ca44199766ca55d412ea9931e7a62038ac', '64a79c757e06a77679ac7f3b8018c798f438607e')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-admin-server', build=None, container_name='admin-server'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}","['spring-petclinic-admin-server/src/main/docker/Dockerfile', 'spring-petclinic-api-gateway/src/main/docker/Dockerfile', 'spring-petclinic-config-server/src/main/docker/Dockerfile', 'spring-petclinic-customers-service/src/main/docker/Dockerfile', 'spring-petclinic-discovery-server/src/main/docker/Dockerfile', 'spring-petclinic-tracing-server/src/main/docker/Dockerfile', 'spring-petclinic-vets-service/src/main/docker/Dockerfile', 'spring-petclinic-visits-service/src/main/docker/Dockerfile']"
"[(553, 554)]","[('b173df5c23e2a38a6c7dbeef9b77ea8ac5a4a834', 'c1d017ae4fd9cfb330a0a58f73b2192ccda19574')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}","['spring-petclinic-api-gateway/src/main/docker/Dockerfile', 'spring-petclinic-config-server/src/main/docker/Dockerfile', 'spring-petclinic-customers-service/src/main/docker/Dockerfile', 'spring-petclinic-discovery-server/src/main/docker/Dockerfile', 'spring-petclinic-tracing-server/src/main/docker/Dockerfile', 'spring-petclinic-vets-service/src/main/docker/Dockerfile', 'spring-petclinic-visits-service/src/main/docker/Dockerfile']"
"[(555, 573)]","[('4d104a33dbebef755c6a50e2c70340dfc858ee2b', '5df6e67f58e7f12d1d0245ea90224733280e39c0')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-admin-server', build=None, container_name='admin-server'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}","['spring-petclinic-admin-server/src/main/docker/Dockerfile', 'spring-petclinic-api-gateway/src/main/docker/Dockerfile', 'spring-petclinic-config-server/src/main/docker/Dockerfile', 'spring-petclinic-customers-service/src/main/docker/Dockerfile', 'spring-petclinic-discovery-server/src/main/docker/Dockerfile', 'spring-petclinic-tracing-server/src/main/docker/Dockerfile', 'spring-petclinic-vets-service/src/main/docker/Dockerfile', 'spring-petclinic-visits-service/src/main/docker/Dockerfile']"
"[(574, 602)]","[('cf84ed0a937e6901c280838adbdfc959fb0ef60b', 'cf3ea3c60f7ae0b30724a88f7ca794f52bf66a89')]",set(),"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-admin-server', build=None, container_name='admin-server'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-tracing-server', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}",['docker/Dockerfile']
"[(603, 615)]","[('96512ba1c0cc2221230304cd5811dfbd2a6d38d0', 'c94a088eba18d3c447f4d57c6312d8bd5f0e853d')]",{'tracing-server'},"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='openzipkin/zipkin', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-admin-server', build=None, container_name='admin-server'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}",['docker/Dockerfile']
"[(616, 622)]","[('ece0dc198e4f9fe0cde2cb455a0d0156f90adf2d', 'cd86db374402c7a86c1bcaded32ab26b3787d598')]",{'tracing-server'},"{Container(image='mszarlinski/spring-petclinic-discovery-server', build=None, container_name='discovery-server'), Container(image='openzipkin/zipkin', build=None, container_name='tracing-server'), Container(image='mszarlinski/spring-petclinic-hystrix-dashboard', build=None, container_name='hystrix-dashboard'), Container(image='mszarlinski/spring-petclinic-api-gateway', build=None, container_name='api-gateway'), Container(image='mszarlinski/spring-petclinic-visits-service', build=None, container_name='visits-service'), Container(image='mszarlinski/spring-petclinic-vets-service', build=None, container_name='vets-service'), Container(image='mszarlinski/spring-petclinic-admin-server', build=None, container_name='admin-server'), Container(image='mszarlinski/spring-petclinic-customers-service', build=None, container_name='customers-service'), Container(image='mszarlinski/spring-petclinic-config-server', build=None, container_name='config-server')}",['docker/Dockerfile']
