CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 1)]","[('d48abe8ae06bd7bd1516be4e2b336525075ed044', 'd48abe8ae06bd7bd1516be4e2b336525075ed044')]",set(),set(),[]
"[(2, 26)]","[('aacecdcb518b90db3f22493bd928e2e05f3d6333', '2ab7311bbf605de1daee2286f575c08b39d41e37')]","{Microservice(name='workshopmanagementapi', build=Build(context=None, rel_dockerfile='src/WorkshopManagementAPI/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='auditlogservice', build=Build(context=None, rel_dockerfile='src/AuditlogService/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='customermanagementapi', build=Build(context=None, rel_dockerfile='src/CustomerManagementAPI/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='webapp', build=Build(context=None, rel_dockerfile='src/WebApp/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='timeservice', build=Build(context=None, rel_dockerfile='src/TimeService/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='vehiclemanagementapi', build=Build(context=None, rel_dockerfile='src/VehicleManagementAPI/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='invoiceservice', build=Build(context=None, rel_dockerfile='src/InvoiceService/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='workshopmanagementeventhandler', build=Build(context=None, rel_dockerfile='src/WorkshopManagementEventHandler/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='notificationservice', build=Build(context=None, rel_dockerfile='src/NotificationService/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver')}",[]
"[(27, 44)]","[('d723e7e5810b561214be95c03a97a9d9efcc1391', 'a285efee455f34ba5330f6b9b2f6abac76cc123a')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver')}",[]
"[(45, 50)]","[('0f2f9e3416e033ddcc658f890aa4bedb701a54eb', 'dc5aae7cba969f9479e17fa67cd52ef11ee0490f')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_2', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_1', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver')}",[]
"[(51, 51)]","[('eed48352b65144eadb1158cfb8897a427b1be02d', 'eed48352b65144eadb1158cfb8897a427b1be02d')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_2', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_1', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='datalust/seq', build=None, container_name='loggingserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver')}",[]
"[(52, 74)]","[('7784c50f4fb405a6eaad25e1bc00298d068a4e1e', '90c4d76c8347cf3007da1b2a440f73908cc8a7d4')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_2', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi_1', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='datalust/seq', build=None, container_name='logserver')}",[]
"[(75, 115)]","[('94a616fb38b97a97b778d4c675d1d246e5b003ce', '6f071b2456399fc30ef161f6f65e873d0832ffd3')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='apigateway', build=Build(context='src/APIGateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='consul', build=None, container_name='discoveryservice')}",[]
"[(116, 281)]","[('bb9282be35f3c1c6279a836d86f755de31e8cea8', 'ce7fe687f6be4b7a0315c4156cd5c4782e6e7fa7')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='djfarrelly/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='datalust/seq', build=None, container_name='logserver')}",[]
"[(282, 303)]","[('853829ed31e64ca5823856c83f38e8a824352dcb', 'd31c4063bd084ca0b141dc15ae5193fb58f9dfa7')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='maildev/maildev', build=None, container_name='mailserver'), Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sqlserver'), Container(image='datalust/seq', build=None, container_name='logserver')}",[]
"[(304, 346)]","[('e689b4c1e1dbbfc1f863ef50d9167630156f54e6', '7e4d2eb55eaa1d3657976f1041f74cb382ca6855')]","{Microservice(name='notificationservice', build=Build(context='src/NotificationService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='auditlogservice', build=Build(context='src/AuditlogService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='customermanagementapi', build=Build(context='src/CustomerManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='invoiceservice', build=Build(context='src/InvoiceService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='vehiclemanagementapi', build=Build(context='src/VehicleManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='timeservice', build=Build(context='src/TimeService', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementapi', build=Build(context='src/WorkshopManagementAPI', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webapp', build=Build(context='src/WebApp', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='workshopmanagementeventhandler', build=Build(context='src/WorkshopManagementEventHandler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='rabbitmq', build=None, container_name='rabbitmq'), Container(image='maildev/maildev', build=None, container_name='mailserver'), Container(image='datalust/seq', build=None, container_name='logserver'), Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sqlserver')}",[]
