CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 4)]","[('e5563528759063a84af10931e0cb7b4961d045fa', '9f0ae7c6eb8cfe21d1185b398638242bee5ac70b')]",set(),set(),[]
"[(5, 6)]","[('6318176d55cfb5d433de65ce32df9c16056b3cd7', 'c8373731b2cff98db293e4b3ce8f9896ae535146')]","{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='basket.data'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(7, 31)]","[('0c388c8a8298fdbbb8988e54d02271f64703d923', '87df034d5b7ef3619a9f2c227c545583c32288da')]","{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(32, 76)]","[('9df18280e4b3bf4230f4781ba03092e3d8fcf635', 'c606098cac1f8d83e835073a881e8f6db10e9367')]","{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(77, 110)]","[('56a861da1440ab2771befa1a19a8aff185ef9bb6', '31da2f5ab74285beabe860874ad837f049bb9f88')]","{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(111, 123)]","[('a10ad824b7ff60b038019055605f2fa056badf65', '8b3fbee318278f16df97ccaffb7d6a7617578127')]","{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='datalust/seq', build=None, container_name='seq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(124, 133)]","[('62af44a5c22bd198491bc95684b0a136f0a2b9cd', '70f7d756c133e58ac02bb517b7a498cefd0706e4')]","{Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='datalust/seq', build=None, container_name='seq'), Container(image='microsoft/mssql-server-linux', build=None, container_name='sql.data')}",[]
"[(134, 134)]","[('a98d0744cea0ad96218d616dc934b7dfbda3eba2', 'a98d0744cea0ad96218d616dc934b7dfbda3eba2')]","{Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq')}",[]
"[(135, 163)]","[('41ff3f6ace0632fc4803226841b6d914a09a8716', 'a03d284d9ccdeb4127ce4377084557ffffb82120')]","{Microservice(name='joining.api', build=Build(context='.', rel_dockerfile='src/Services/Joining/Joining.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq')}",[]
"[(164, 175)]","[('eb751ded855a5923ef1f42707c9476e87e36a825', 'c265a7f034044a0cda152d3c63ada8ee13bf54d7')]","{Microservice(name='joining.api', build=Build(context='.', rel_dockerfile='src/Services/Joining/Joining.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(176, 181)]","[('d5835ca5eca40b89fd7a54c7ddb87a41189ab9a3', '16abcfe912f79e76a726d5eb435289528529f587')]","{Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(182, 184)]","[('dc0e8132d914f509cf4429610abb85cd62d0ce10', '813d0330d231ec6ba5f07d744ffd36cc891996ee')]","{Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='eschool.graphql', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(185, 239)]","[('9740132e99b6f78f09d93992f5c575e16521eedd', '7f864bf133926035b422a756b0c00eb3cce57fa4')]","{Microservice(name='frontend.blazor', build=Build(context='.', rel_dockerfile='src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='eschool.graphql', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(240, 265)]","[('a0e76a704eecee8c06b331ed5221909df47dcb72', '4ecf4df9ab257e78b9ce9beb2422495ad45a2c08')]","{Microservice(name='frontend.blazor', build=Build(context='.', rel_dockerfile='src/Web/Frontend.Blazor/Frontend.Blazor.Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='webstatus', build=Build(context='.', rel_dockerfile='src/Web/WebStatus/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='certificateprocessing.api', build=Build(context='.', rel_dockerfile='src/Services/CertificateProcessing/CertificateProcessing.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='eschool.graphql', build=Build(context='.', rel_dockerfile='src/ApiGateways/eSchool.GraphQL/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mcr.microsoft.com/mssql/server', build=None, container_name='sql.data'), Container(image='datalust/seq', build=None, container_name='seq'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
