CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 15)]","[('f2a9b528c92a9b925678208e153919436740e596', 'aa0181abcdeb856c9c0748d6c8d6edf222c56347')]",set(),set(),[]
"[(16, 23)]","[('680e4ea4842d639b181fd8ec744bf098dfc137e1', '8f554a112beb68de9558c23b5c574ca18b33ffe3')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",[]
"[(24, 24)]","[('d21c85dbb2cdc496b0ac167148bcece6bd5bcdb7', 'd21c85dbb2cdc496b0ac167148bcece6bd5bcdb7')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",['src/productservice/Dockerfile']
"[(25, 110)]","[('8231e08471d1ee1a6027cf8c16d31687d0ce2b4c', '5e381cce8e1fa7756a5d9391e26396730896fce0')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='productservice', build=Build(context=None, rel_dockerfile='src/productservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",[]
"[(111, 111)]","[('f6fddf5ee319c35980dbe0d62f9b22571a5632c1', 'f6fddf5ee319c35980dbe0d62f9b22571a5632c1')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='productservice', build=Build(context=None, rel_dockerfile='src/productservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",['src/loadgenerator/Dockerfile']
"[(112, 113)]","[('453c9e87c33dab8c7aee8c72f4c55af89b02808f', '993ca659c6d18da0fa1dcb9cd6cfe98498888704')]","{Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productservice', build=Build(context='src/productservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}","['src/adservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/recomendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(114, 115)]","[('1e1d5501045585f5887a0028bd0b7d4e6aaf910a', '115c5c0dcb9a55249e9d076fce54e18f26a03129')]","{Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productservice', build=Build(context='src/productservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mysql', build=None, container_name='checkout-mysql'), Container(image='mysql', build=None, container_name='product-mysql'), Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone'), Container(image='redis', build=None, container_name='cart-redis')}","['src/adservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/recomendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(116, 118)]","[('4cc08fcd61a4f351f29e4f38401654f10fb84c20', '157177b6e33e3bb0b89c05d217f49afb4929eb97')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='productservice', build=Build(context=None, rel_dockerfile='src/productservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",['src/loadgenerator/Dockerfile']
"[(119, 130)]","[('9e934ba2d8337d8fb5b5e3f86eb23b299f51369d', '7bb8c1b50be446cd76eb63fce48312460c3e2b88')]","{Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productservice', build=Build(context='src/productservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mysql', build=None, container_name='checkout-mysql'), Container(image='mysql', build=None, container_name='product-mysql'), Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone'), Container(image='redis', build=None, container_name='cart-redis')}","['src/adservice/Dockerfile', 'src/currencyservice/Dockerfile', 'src/emailservice/Dockerfile', 'src/loadgenerator/Dockerfile', 'src/paymentservice/Dockerfile', 'src/recomendationservice/Dockerfile', 'src/shippingservice/Dockerfile']"
"[(131, 131)]","[('3a3ef9bd1d60cf3ff6c54737ff22e6199363a0b4', '3a3ef9bd1d60cf3ff6c54737ff22e6199363a0b4')]","{Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='productservice', build=Build(context=None, rel_dockerfile='src/productservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}","{Container(image='nacos/nacos-server', build=None, container_name='nacos-standalone')}",['src/loadgenerator/Dockerfile']
