CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 102)]","[('5169e13088bcf2063d87e8daeae3dcb66ff6ce9f', 'e9dccaffb135aae565f5eb093f36026f495d6636')]",set(),set(),[]
"[(103, 116)]","[('c326a455c9b8060e59ba86a521965c5c1f6dc282', 'd16ef7ba83380f8826c6b07709d07ae2da3e8c53')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul')}",[]
"[(117, 123)]","[('c48fa8de76f8ed52b62aa7ff4979b0576cc4232e', 'd84ae7ddee7e1de6eeea8bf71f01559bae235ecf')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul')}",['policy-search-service/Dockerfile']
"[(124, 129)]","[('a327879e970cf41cea7956bdb3bd2d12ae099b64', '500046aaf01acc1654f61e446b74865d7f557f8a')]","{Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul')}","['agent-portal-gateway/Dockerfile', 'auth-service/Dockerfile', 'payment-service/Dockerfile', 'policy-search-service/Dockerfile', 'pricing-service/Dockerfile', 'product-service/Dockerfile', 'web-vue/Dockerfile']"
"[(130, 162)]","[('ecd7ba773033e8256686a03acac0fc5c042e71d4', 'a4bab772e420db5f0773c1a4fd4ce514d58dbbc1')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul')}",[]
"[(163, 192)]","[('f0e2023ed4b09f541b510010700c2c31363cabc4', 'cf15e04d15b53706337c0419fd023e3f33f0f456')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='consul', build=None, container_name='consul')}",['documents-service/Dockerfile']
"[(193, 203)]","[('bc690b2c9267ae63b11526efad7853ee566525bf', 'db82a0af40eb2625bdbfa71617deba6a7ac560f1')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='consul', build=None, container_name='consul')}",[]
"[(204, 219)]","[('7074b54dd4cd4016fbc8f0710e3b33cca208b8a8', 'c1b58455e832d3ff1676cece6cd4083f55769c03')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='mongo', build=None, container_name='mongo'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='jsreport/jsreport', build=None, container_name='jsreport'), Container(image='consul', build=None, container_name='consul')}",[]
"[(220, 292)]","[('6515ae65aa62377c27d8bda95218f3c9f1958056', 'd327778020680008d5df470d23b9518e4a363c0a')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='docker.elastic.co/elasticsearch/elasticsearch', build=None, container_name='elasticsearch'), Container(image='consul', build=None, container_name='consul'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mongo', build=None, container_name='mongo'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='jsreport/jsreport', build=None, container_name='jsreport')}",[]
"[(293, 296)]","[('d895297ec6825849bf8fcac363784439b42f3617', 'edef372c64373d3ffde4d08831880a10dadca8e8')]","{Microservice(name='mn-product-service', build=Build(context='product-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-auth-service', build=Build(context='auth-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-search-service', build=Build(context='policy-search-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-policy-service', build=Build(context='policy-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-chat-service', build=Build(context='chat-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-payment-service', build=Build(context='payment-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-web-vue', build=Build(context='web-vue', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-agent-portal-gateway', build=Build(context='agent-portal-gateway', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-documents-service', build=Build(context='documents-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='mn-pricing-service', build=Build(context='pricing-service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mzagar/kafka-manager-docker', build=None, container_name='kafkamanager'), Container(image='docker.elastic.co/elasticsearch/elasticsearch', build=None, container_name='elasticsearch'), Container(image='consul', build=None, container_name='consul'), Container(image='openzipkin/zipkin', build=None, container_name='zipkin'), Container(image='mongo', build=None, container_name='mongo'), Container(image='spotify/kafka', build=None, container_name='kafka'), Container(image='jsreport/jsreport', build=None, container_name='jsreport')}",['dashboard-service/Dockerfile']
