CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 27)]","[('b11a11a826a1db0715dc9d12eb05eb833b56514f', '81575f5388cc6c9418aad21dff15ce764fab3708')]",set(),set(),[]
"[(28, 28)]","[('8d2cfc0fe3b7a2fd736c3180c8b1a3acbbf880b8', '8d2cfc0fe3b7a2fd736c3180c8b1a3acbbf880b8')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='database', build=Build(context=None, rel_dockerfile='database_services/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}","{Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='registry', build=None, container_name='images')}",['process_service/Dockerfile']
"[(29, 29)]","[('464d75e08717e50532549855c800bff6ee75097d', '464d75e08717e50532549855c800bff6ee75097d')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='database', build=Build(context=None, rel_dockerfile='database_services/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}","{Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='registry', build=None, container_name='images')}",[]
"[(30, 50)]","[('0da014aa8299e831328f7c27e1780a8500af44ef', 'fb7922ccbf714c24d9bcf445c22210195f97f89d')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='registry', build=None, container_name='images')}",[]
"[(51, 51)]","[('cbdc2dcff92bc23ab259cafffe66963d80cee01d', 'cbdc2dcff92bc23ab259cafffe66963d80cee01d')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='database_replica_1'), Container(image='registry', build=None, container_name='images'), Container(image='mongo', build=None, container_name='database_replica_2')}",[]
"[(52, 52)]","[('599387f736c97d7112c2a09696dd746c6c3bbebd', '599387f736c97d7112c2a09696dd746c6c3bbebd')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database_2'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='database_1'), Container(image='mongo', build=None, container_name='database_3'), Container(image='registry', build=None, container_name='images')}",[]
"[(53, 56)]","[('4073b0854f438a96ce60a66e58f7245956702eee', '0bba4fd654d8167490ffd8fae2e968f127963cd5')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database_2'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='database_1'), Container(image='mongo', build=None, container_name='database_3'), Container(image='registry', build=None, container_name='images'), Container(image='127.0.0.1', build=Build(context='database_replica_set_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='database_replica_set')}",['database_replica_set_service/Dockerfile']
"[(57, 57)]","[('07db69edba6b1de1c1ac7f9c994cdbe0dba68407', '07db69edba6b1de1c1ac7f9c994cdbe0dba68407')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database_2'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='database_3'), Container(image='registry', build=None, container_name='images'), Container(image='127.0.0.1', build=Build(context='database_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='database_1')}","['database_replica_set_service/Dockerfile', 'database_service/Dockerfile']"
"[(58, 63)]","[('696a87a77df3ad40bee7238ba545a9c5fbdc519a', '0dfee2b0f8220c9278e24a2591212f1ca95a40f4')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='mongo', build=None, container_name='database_2'), Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='database_3'), Container(image='registry', build=None, container_name='images'), Container(image='127.0.0.1', build=Build(context='database_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='database_1')}",['database_service/Dockerfile']
"[(64, 67)]","[('e45070c0c0a440bb2a36fec3df6a278a834ec4ea', '9cfabca7ecbda9536b2d0646b1500ccefefe8ef9')]","{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='dockersamples/visualizer', build=None, container_name='visualizer'), Container(image='mongo', build=None, container_name='rs3'), Container(image='mongo', build=None, container_name='rs1'), Container(image='mongo', build=None, container_name='rs2'), Container(image='registry', build=None, container_name='images'), Container(image='127.0.0.1', build=Build(context='mongors', rel_dockerfile='Dockerfile', remote=False, absolute=False), container_name='rs')}","['database_service/Dockerfile', 'mongors/Dockerfile']"
