CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 21)]","[('75bf84fa773cf7066ec40ccbe400f5d734a2b4b9', '5a382742d233f87c862089769ef0d3e8ce67777b')]",set(),set(),[]
"[(22, 29)]","[('020564b32f716497f1bd6eff40cd70710df1642b', 'f7b37a01fe9cd4b2d27a5b2ab4b5770656089a48')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='src/recommendationservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='src/productcatalogservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(30, 35)]","[('c8f18298bf9123642c387f517e0d8db9c7c8f60d', '1cd699563ba89ad640fd11c3d7203fcbbca89b37')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='src/recommendationservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(36, 36)]","[('02cd9411ca30c5e22663edbd7fcacd89ca98b4d3', '02cd9411ca30c5e22663edbd7fcacd89ca98b4d3')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='src/frontend', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(37, 37)]","[('a6b6abb57de867a730b1cc1be676bef8fbfa0018', 'a6b6abb57de867a730b1cc1be676bef8fbfa0018')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='src/loadgenerator', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(38, 49)]","[('8aeaf73d25db28a6e9f504ef88a0948177febbb4', '241322b22de876c455eae505d4c763020a728c1a')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='src/adservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(50, 50)]","[('0bd9f8988a4e62133561047e1607aa9d8d1ab425', '0bd9f8988a4e62133561047e1607aa9d8d1ab425')]","{Microservice(name='paymentservice', build=Build(context='src/paymentservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(51, 51)]","[('b83a8d16d0b12b2cb6a8c3b5af7636f92945306b', 'b83a8d16d0b12b2cb6a8c3b5af7636f92945306b')]","{Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='paymentservice', build=Build(context='.', rel_dockerfile='./src/paymentservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='src/cartservice/src', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(52, 52)]","[('982cefedaa504a52b658e32d45e4d5f5a8ca68bd', '982cefedaa504a52b658e32d45e4d5f5a8ca68bd')]","{Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='src/checkoutservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='paymentservice', build=Build(context='.', rel_dockerfile='./src/paymentservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='.', rel_dockerfile='./src/cartservice/src/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
"[(53, 60)]","[('a1d1d7332673e4209d0dea97b7d59a0b78577d42', 'db057c38dc123cc4be43aabf4a5bb99efe452fb8')]","{Microservice(name='frontend', build=Build(context='.', rel_dockerfile='./src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='productcatalogservice', build=Build(context='.', rel_dockerfile='./src/productcatalogservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='loadgenerator', build=Build(context='.', rel_dockerfile='./src/loadgenerator/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='shippingservice', build=Build(context='src/shippingservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='checkoutservice', build=Build(context='.', rel_dockerfile='./src/checkoutservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='paymentservice', build=Build(context='.', rel_dockerfile='./src/paymentservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='recommendationservice', build=Build(context='.', rel_dockerfile='./src/recommendationservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='emailservice', build=Build(context='src/emailservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='adservice', build=Build(context='.', rel_dockerfile='./src/adservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='currencyservice', build=Build(context='src/currencyservice', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cartservice', build=Build(context='.', rel_dockerfile='./src/cartservice/src/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='redis', build=None, container_name='redis-cart'), Container(image='otel/opentelemetry-collector', build=None, container_name='otelcol'), Container(image='jaegertracing/all-in-one', build=None, container_name='jaeger')}",[]
