CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 440)]","[('a936422283f0ec29e27504f80b87889dc3a874f7', '7d4d94ac6c96238d1d281c967fc0233e0e643889')]",set(),set(),[]
"[(441, 441)]","[('428df65d878a079895acbfc33077bf1414b1f6f7', '428df65d878a079895acbfc33077bf1414b1f6f7')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}",set(),"['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/cart/Dockerfile', 'src/services/catalog/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/inventory/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/rating/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(442, 442)]","[('1f5361b5138fea8050093997b9961f3d57f7631c', '1f5361b5138fea8050093997b9961f3d57f7631c')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}",set(),"['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/catalog/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/rating/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(443, 446)]","[('2410fe0f9a526577f9a92e6a559c1fe45b4b4081', 'af753556ca69026b18af08d18754e6586b59e866')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='idp-service', build=Build(context=None, rel_dockerfile='src/services/idp/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}",set(),"['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/catalog/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/rating/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(447, 453)]","[('2ec8e5a37d747dc9f2853f59bde68f9b97c0c1bc', '5c124c0e540c90a6605d4f0208f9f6338d00c7c1')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}",set(),"['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/catalog/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/rating/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(454, 455)]","[('9559201ad7a8dfa9376ccb1524487d2415e4fd84', '4984c5aed2a6beb8c1848bdfb8f1cfabb9e6e7fd')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='rating-service', build=Build(context=None, rel_dockerfile='src/services/rating/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='catalog-service', build=Build(context=None, rel_dockerfile='src/services/catalog/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}",set(),"['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(456, 462)]","[('02d012adb1edbfc5102c63245da18ec6da336b38', '140895f462f4b104729f2e33fb923a93984f4edf')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='catalog-service', build=Build(context=None, rel_dockerfile='src/services/catalog/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}","{Container(image='bitnami/mongodb', build=None, container_name='mongodb')}","['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/rating/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(463, 472)]","[('c08c53cabbfe665767c7ba70679afae36c6aee26', '5ee444e35c7dd1fc947b04d00642b5a06d9b7195')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='rating-service', build=Build(context=None, rel_dockerfile='src/services/rating/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='catalog-service', build=Build(context=None, rel_dockerfile='src/services/catalog/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}","{Container(image='bitnami/mongodb', build=None, container_name='mongodb')}","['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
"[(473, 473)]","[('43c40fd63173a747562bd714e0b162c755e63119', '43c40fd63173a747562bd714e0b162c755e63119')]","{Microservice(name='open-api-service', build=Build(context='.', rel_dockerfile='./src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cs-spa', build=Build(context='.', rel_dockerfile='./src/web/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='cart-service', build=Build(context='.', rel_dockerfile='./src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='catalog-service', build=Build(context='.', rel_dockerfile='./src/services/catalog/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='rating-service', build=Build(context='.', rel_dockerfile='./src/services/rating/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='idp-service', build=Build(context='.', rel_dockerfile='./src/services/idp/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='inventory-service', build=Build(context='.', rel_dockerfile='./src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='review-service', build=Build(context='.', rel_dockerfile='./src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='envoy-proxy', build=Build(context='.', rel_dockerfile='./src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}","{Container(image='bitnami/mongodb', build=None, container_name='mongodb')}","['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/web-aggregator/Dockerfile']"
"[(474, 474)]","[('825a5e8217a96ec7de6c5e8e626849c043699a28', '825a5e8217a96ec7de6c5e8e626849c043699a28')]","{Microservice(name='envoy-proxy', build=Build(context=None, rel_dockerfile='src/services/envoy-proxy/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='cart-service', build=Build(context=None, rel_dockerfile='src/services/cart/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='open-api-service', build=Build(context=None, rel_dockerfile='src/services/open-api/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='review-service', build=Build(context=None, rel_dockerfile='src/services/review/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='rating-service', build=Build(context=None, rel_dockerfile='src/services/rating/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='catalog-service', build=Build(context=None, rel_dockerfile='src/services/catalog/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='inventory-service', build=Build(context=None, rel_dockerfile='src/services/inventory/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}","{Container(image='bitnami/mongodb', build=None, container_name='mongodb')}","['deploys/dockers/mssqldb/Dockerfile', 'deploys/dockers/mysqldb/Dockerfile', 'deploys/dockers/pnpm/Dockerfile', 'src/WebUI/Dockerfile', 'src/services/idp/Dockerfile', 'src/services/pricing/Dockerfile', 'src/services/web-aggregator/Dockerfile', 'src/web/Dockerfile']"
