COMMIT,HASH,MICROSERVICES
1,d48abe8ae06bd7bd1516be4e2b336525075ed044,set()
2,aacecdcb518b90db3f22493bd928e2e05f3d6333,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
3,367f42836b275654919e6051099fb6a81fad993b,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
4,520743f220d67c6557626aaf484cad187af04c2b,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
5,5708878e14a77c0d684f676fbb5662466769c99d,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
6,3f4320f3b300220138859920789edebfc67a7647,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
7,aa7cd8b10dd04c7c2ce71e91d030e12aead28bf5,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
8,de5792d8483a90b4dd4674413595f4f0d93b747f,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
9,6b6635073b13f54cf05a6c27591a23295a1aef9d,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
10,c636a51e25a68f3ef52e04d2a4e43096e6bea0f7,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
11,cc80f79c5872e19b743b23bc827b38600db2563e,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
12,9506d86f24a1b1220b17b459b41ba7889e00b55d,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
13,4068876c2083e70456c913c690489c6db0666487,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
14,0d2e1f1378708a67550f3bf22cae0e0161c6a2c5,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
15,0ad5ed88cb2e99da5d717b37df2b9f81eec96754,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
16,b9fa10b1ff7389b93478210d5d2e0d83e9581f9d,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
17,55fd523c1585be49ce1192c9a3b705c08930c26c,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
18,c039e50a160efe3ed310036905a981dd58e57722,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
19,f099e80e013b850ab3b49e542d78c68ab66c2c58,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
20,b7298f58657debfd1862da10a05d83bd0069f4cf,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
21,3b52a7684474e6825a2a2d72eddcd608ac735edb,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
22,edff0bfb1917fb44cae31f7fa4d88f3fa9657c50,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
23,09c40722aba8116cee05c33fd3541361aa1cc8f4,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
24,98ae843c91903bca6ffb446470e46ed2a53adc1d,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
25,47558471023d7bccc83ddae7accde1a609967c10,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
26,2ab7311bbf605de1daee2286f575c08b39d41e37,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
27,d723e7e5810b561214be95c03a97a9d9efcc1391,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
28,0a0fff7e579be2ea4bc448e42d69a1d168b1fdf2,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
29,4f0de8954061869d9d483286ff24e3e6bfb58794,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
30,a1cd8fa09d0ed5bccbef3a16d888dc449e34ca2b,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
31,c74e9cc7ce31d5b007739f5ffc9d815ba1e38841,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
32,816a09a810a9229d1f26bc460d13e69e99328716,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
33,2d63493bf92369abea05cde61121b03af4f9328c,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
34,4b6f9bfbfd39a1b859c2c1bbface56c6f3fe6e49,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
35,19f02832ccc657a242cf5c500284f8d3e7d57de5,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
36,5009a7d2b09852d959349cb5b70efa2b30406e83,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
37,df9488d7d0b79d0ffb32551c9c2c35854e8ee745,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
38,72f11f96aea686af386bd03b0118f877d602ec8b,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
39,f4c8acee59e9dbc8e878ed908dbe7d0b5db959fa,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
40,156b7c0a69cd22dcb129ee2f00caaed9403620ae,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
41,03db1e79c667fd9174d3b227752f08fd9a0f881f,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
42,856b44713d49679813f3d57800f1afe7f16d55b3,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
43,8e1ccde319d3214d17cfd05b1e3b55633fdfdd53,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
44,a285efee455f34ba5330f6b9b2f6abac76cc123a,"{'notificationservice', 'mailserver', 'workshopmanagementapi', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'invoiceservice', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
45,0f2f9e3416e033ddcc658f890aa4bedb701a54eb,"{'notificationservice', 'mailserver', 'apigateway', 'invoiceservice', 'workshopmanagementapi_2', 'auditlogservice', 'webapp', 'timeservice', 'workshopmanagementeventhandler', 'workshopmanagementapi_1', 'customermanagementapi', 'sqlserver', 'vehiclemanagementapi'}"
