COMMIT,HASH,MICROSERVICES
1,6c1b2c3d4553d8bd535f9271907ec355c47853ea,set()
2,57b392013e08dfc6b04a469061187dbd819c8462,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
3,3ea128078eb0ec45f110a77ed151933339d0f626,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
4,a31b5567ac6c587a5cadbcc73dc12582932889d6,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
5,6292aec5e0b73dde8d6bd4d11d5faec4dcb6b6e0,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
6,199d975f0fc8342d728f771a35a5643f63bcc866,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
7,ec0f66de83c9813e99675e78cc65143278dce488,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
8,83336a407682e95ecf6e892163afca0687f44329,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
9,137094f2f64062a8e8a974fac24842d457ca1cb5,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
10,357cac6d5b343270ca34d4bc6fcb9f2952234ee8,"{'ts-login-service', 'ts-ui-dashboard', 'ts-station-service', 'ts-news-service', 'ts-rebook-service', 'ts-ticket-office-service', 'ts-admin-user-service', 'ts-food-map-service', 'ts-order-other-service', 'ts-route-plan-service', 'ts-admin-order-service', 'ts-food-service', 'ts-admin-basic-info-service', 'ts-travel2-service', 'ts-notification-service', 'ts-verification-code-service', 'ts-admin-travel-service', 'ts-admin-route-service', 'ts-basic-service', 'ts-security-service', 'ts-ticketinfo-service', 'ts-seat-service', 'ts-preserve-other-service', 'ts-voucher-service', 'ts-order-service', 'ts-payment-service', 'ts-cancel-service', 'ts-preserve-service', 'ts-contacts-service', 'zipkin', 'ts-execute-service', 'ts-consign-price-service', 'ts-route-service', 'ts-price-service', 'ts-config-service', 'ts-travel-plan-service', 'ts-travel-service', 'ts-register-service', 'ts-consign-service', 'ts-inside-payment-service', 'ts-train-service', 'ts-sso-service', 'ts-assurance-service'}"
