COMMIT,HASH,MICROSERVICES
1,edd30eabbcefdd50496df4bd2aa9cd9059963d94,set()
2,4098a02d5eaf1fa7f1975ec433b1f97035dd838a,"{'ftgoaccountingservice', 'ftgoorderservice', 'ftgorestaurantservice', 'eventuatelocalcdcservice', 'ftgoconsumerservice', 'ftgoorderhistoryservice', 'ftgorestaurantorderservice'}"
3,99b76a7846c7c5297e85a373ca9b996958961460,"{'ftgoaccountingservice', 'ftgoorderservice', 'ftgorestaurantservice', 'eventuatelocalcdcservice', 'ftgoconsumerservice', 'ftgoorderhistoryservice', 'ftgorestaurantorderservice'}"
4,57ebef0355684c610bc7a6870adbf637d52faedf,"{'ftgoaccountingservice', 'ftgoorderservice', 'ftgorestaurantservice', 'eventuatelocalcdcservice', 'ftgoconsumerservice', 'ftgoorderhistoryservice', 'ftgorestaurantorderservice'}"
5,edddca1f48799cc348f89fab6692800866b8b52e,"{'ftgoaccountingservice', 'ftgoorderservice', 'ftgorestaurantservice', 'eventuatelocalcdcservice', 'ftgoconsumerservice', 'ftgoorderhistoryservice', 'ftgorestaurantorderservice'}"
6,49f9caddd87db3784c0a0e6c9c4c3d7b00d75f2a,"{'ftgoaccountingservice', 'ftgoorderservice', 'ftgorestaurantservice', 'eventuatelocalcdcservice', 'ftgoconsumerservice', 'ftgoorderhistoryservice', 'ftgorestaurantorderservice'}"
7,db778ecfc80eeb335b92101d67f351c8f991cd54,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
8,dd4a8af175490837883d0e38c4ff4a5d6476f369,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
9,b7ce7f5043c80ffb2a4fd6406d0be38e5726a601,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
10,85e079f2731e6b98a1f6f45a871edaaffda6a520,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
