COMMIT,HASH,MICROSERVICES
1,75bf84fa773cf7066ec40ccbe400f5d734a2b4b9,set()
2,7bbb4ad66d05921ed02ec5a179d8adcdbd65f819,set()
3,aec15169c649692ea422dd8c34ef9ed61e13b6f4,set()
4,554bc4d743adb8ee9d8b9174f144117fb5c9abba,set()
5,c36e63647c219de1791433b45e9877b3ad00e93e,set()
6,6cd89a7e8ae674555252afa9df978638cbfe4781,set()
7,1ad4e894dde8f1b5ec2e1d3590521d5f52b83912,set()
8,922b03f414d469c04ee89bd8b57c99072f2db4a9,set()
9,b0faa45577298e7a54c7f4e7f8684a76a2bbaba2,set()
10,e5803857d06edb0603ea9a3cd224575d0101a444,set()
11,c2a993677bf7c5d3799157323aa5f95c517d3f62,set()
12,77c2792e24d89790f09ae2a8112325f4be6720f1,set()
13,4eefb967e20d1a8b36fca68c32a613625e7ad5ea,set()
14,fa134e119459469b7eb62a9f7499fc3285e2b149,set()
15,b28cb38af2f1f1273f92a321d713e0f7706536b6,set()
16,ccf594b46ee91412464984cd3b279a611190d316,set()
17,b871b47f6f4f864b78a0c0112d54cd100aa8d15f,set()
18,e19f0e59863b7d497aaf36571a4261582a6c8334,set()
19,dd2052013dcd51bbfcb1c0ed8f547b367a1c89f7,set()
20,bdc752df2c91ab8f8e78a039ebd957743c8c5e6b,set()
21,5a382742d233f87c862089769ef0d3e8ce67777b,set()
22,020564b32f716497f1bd6eff40cd70710df1642b,set()
23,77bd1495546b8105efb18a682d564b48acca35ee,set()
24,01d47305b30dca37ae7a4a3d3c98fe967f86576e,set()
25,b65fe2e04994115509e955cb5053657424a45589,set()
26,f94b2693f0b2bacaa811e341f4dec8bb4c0df6c6,set()
27,615981bff1777550fa5edd508b14e6032c75f85b,set()
28,7f540ff120f09e6468758532973c27fb6e3c6ad2,set()
29,f7b37a01fe9cd4b2d27a5b2ab4b5770656089a48,set()
30,c8f18298bf9123642c387f517e0d8db9c7c8f60d,set()
31,664fd995129f66211bc710fc32f77c79b51aa3ca,set()
32,1fb9733ef1b62cfbb1f1a523862d43fce5514e50,set()
33,bc0cd67040248add9092df3f08ae07569e78e534,set()
34,47157320d66f172ca59690aab97d5bb0031d9e21,set()
35,1cd699563ba89ad640fd11c3d7203fcbbca89b37,set()
36,02cd9411ca30c5e22663edbd7fcacd89ca98b4d3,set()
37,a6b6abb57de867a730b1cc1be676bef8fbfa0018,set()
38,8aeaf73d25db28a6e9f504ef88a0948177febbb4,set()
39,2084c4f2d0001581ba84dbb5c0c608bda28cb4cc,set()
40,188e439df050effafd0022fd6b4be305855319ec,set()
41,a49f3b8f30e344c88978d09ea851230540981b3f,set()
42,b844268f39eaa0e0abb5b76a372dac2508c22cd6,set()
43,3098aa995d592f22695da53b4577499ff04e63d6,set()
44,0273a58bcecad6b89df5dcda0d859a7dcdd71d8d,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
45,e8612c7a3b8faf164c996c3f169eff8a6903c3e0,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
46,7c5cee825e5c52b424137bd8d75885156ada7ac9,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
47,2d41195037120f00cc1f6aac72c5bd508fb1b0f6,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
48,462b8f6f118ae5d20fc7303b59dc7ecc4bf2696b,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
49,241322b22de876c455eae505d4c763020a728c1a,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
50,0bd9f8988a4e62133561047e1607aa9d8d1ab425,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
51,b83a8d16d0b12b2cb6a8c3b5af7636f92945306b,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
52,982cefedaa504a52b658e32d45e4d5f5a8ca68bd,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
53,a1d1d7332673e4209d0dea97b7d59a0b78577d42,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
54,1bcefb20805c133826ca1affa2b8000972a1f617,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
55,c13186f8486da53830718f723867f950a6368ed4,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
56,25497fd45e9df23e865619cc462bb6652da1c9fa,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
57,e78c7c218d634fd9fdad20dbb44a453ad0e7633e,"{'paymentservice', 'productcatalogservice', 'cartservice', 'emailservice', 'recommendationservice', 'loadgenerator', 'checkoutservice', 'shippingservice', 'adservice', 'jaeger', 'frontend', 'otelcol', 'currencyservice'}"
