COMMIT,HASH,MICROSERVICES
1,e5563528759063a84af10931e0cb7b4961d045fa,set()
2,d194de74dc6471368dfe27fd7ab6c9972dcbcd48,set()
3,b08f689c0b50aa684305578a875319674a85ab0d,set()
4,9f0ae7c6eb8cfe21d1185b398638242bee5ac70b,set()
5,6318176d55cfb5d433de65ce32df9c16056b3cd7,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
6,c8373731b2cff98db293e4b3ce8f9896ae535146,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
7,0c388c8a8298fdbbb8988e54d02271f64703d923,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
8,53933ff5823c5883409d93d496f28a23dfacad58,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
9,1253ff3a90348f52b67d588ae6f8f3075af16b9c,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
10,e60245493a550788422cbb1f1c87d78e52957caa,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
11,5ec5eba0697da3310c827c4094625549389ad022,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
12,8dbad3a92f5ac9d158c3c13a989b25b5f54b3e20,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
13,44bb8b5c2f3c697ffb2ed65642ef3bbd92de5bf4,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
14,a0a2a2935626798dbe6ebd9a2c6109511ca8335a,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
15,a9b822a847d5b9f99f9c426ce58d354d66597753,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
16,ca8242b01f96dcc356213aa65ce12c23026391f5,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
17,e60b9dd8d0b9eb2eb44ad6aef20f986d5de45f66,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
18,c48cd07fa35f36a0772bda998fc6af254204af4e,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
19,7d64136ba0da2153df027b091f22d67212565517,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
20,61bde794a7d0b61ec30fa2fa7e71980d6270aa32,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
21,5ce7ebdac2744f89b3e9e697c89ec77e0fb91ac4,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
22,c691cb83bcf2f8927816fc20d8cb5ffb9e2a83b9,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
23,7b8792d5affff3177ddc68807e785047c70f2b9c,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
24,a380bc5701b80613c9c5c7a840c6eadf1b44ac60,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
25,7064768ed0fab077499a8255f15e597319ef0759,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
26,26ddd5324060fb1d393bc3cb96d9fb68be49df2a,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
27,c7ec3b764f1a94375b520a9d44a6c4e549e32d4c,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
28,7078708f6d470515121c499ff1c84787b73522ed,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
29,b6859583e46ff8b6cbd1cfbfd9cf4bf9ee5919c5,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
30,7e6df01a400e7d23207a7ca35945435efa24ac60,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
31,87df034d5b7ef3619a9f2c227c545583c32288da,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
32,9df18280e4b3bf4230f4781ba03092e3d8fcf635,"{Microservice(name='identity.api', build=Build(context='.', rel_dockerfile='src/Services/Identity/Identity.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='enrolling.api', build=Build(context='.', rel_dockerfile='src/Services/Enrolling/Enrolling.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
