COMMIT,HASH,MICROSERVICES
1,1ba3e35746d83472b308b2c59844c1214b88fb6d,set()
2,d687fc313dbd9230da9b57d107c66dd0f31279f6,set()
3,83402a2927f728b874d645ba1d8c6a3d14151902,set()
4,612e9741593975477ccc2841086d50b6056a527a,set()
5,e4cddef633b740e3dc7d8da8a86a76f61cd9e562,set()
6,d1306536805a89b5d0d9482e70187358bbbf77d3,set()
7,14aca4924c54de0ec7a613716637dbccb40cc2c5,set()
8,7a55d3228690695d9478060232185c4980d0de16,set()
9,2b4400ca73cff5d44a5cebd64abdc3198d1e31f0,"{Microservice(name='gateway', build=Build(context=None, rel_dockerfile='cloud-api-gateway/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='eureka', build=Build(context=None, rel_dockerfile='cloud-eureka-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='user', build=Build(context=None, rel_dockerfile='cloud-user-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='config', build=Build(context=None, rel_dockerfile='cloud-config-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
10,b58c6e970c286014e091df104c9f86904bbb2185,"{Microservice(name='gateway', build=Build(context=None, rel_dockerfile='cloud-api-gateway/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='eureka', build=Build(context=None, rel_dockerfile='cloud-eureka-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='user', build=Build(context=None, rel_dockerfile='cloud-user-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='config', build=Build(context=None, rel_dockerfile='cloud-config-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
11,752162e34a1be6d4d5b574cf9c86b155276ac63d,"{Microservice(name='gateway', build=Build(context=None, rel_dockerfile='cloud-api-gateway/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='eureka', build=Build(context=None, rel_dockerfile='cloud-eureka-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='user', build=Build(context=None, rel_dockerfile='cloud-user-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='config', build=Build(context=None, rel_dockerfile='cloud-config-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
12,cae2d9ceb800fcf23d53b1ae6ee3e58db2084c75,"{Microservice(name='gateway', build=Build(context=None, rel_dockerfile='cloud-api-gateway/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='eureka', build=Build(context=None, rel_dockerfile='cloud-eureka-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='user', build=Build(context=None, rel_dockerfile='cloud-user-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='config', build=Build(context=None, rel_dockerfile='cloud-config-service/src/main/docker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
