COMMIT,HASH,MICROSERVICES
1,03e80b55f6a115ffe497594b46e847c055d42b89,set()
2,d01d0f5789250130958e700111269bf9ec96f6ed,set()
3,f2837cacb4288954f0546318c60da3c9a17bea57,set()
4,e5a4643a116fc07df500f0a1b5e85f85b57ad217,"{Microservice(name='identity-server', build=Build(context='.', rel_dockerfile='templates/service/host/IdentityServerHost/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='saas-service', build=Build(context='.', rel_dockerfile='templates/service/host/EShopOnAbp.SaasService.Host/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>)}"
5,516306b5a490d0ba0cde73d7605e0b994803219b,set()
6,b369ad1b77eb66b2d6eb66e034799197bb117e57,set()
7,094cdbc7389eb93e118277dc5bde081d9e08ba87,set()
8,8762683b54e39967ebf5f268900eb03e5ccba9ff,set()
9,0e69cdefd9b349f2c920488b5567bfa0c6f8d5be,set()
10,be2a7b644fad703e3ff1e3bb47d1e3226e8ed7cd,set()
11,aa92057117080c4ac9d03dd76d0acef298657747,set()
12,66c700e2315747af34e0b94086405ddef5625252,set()
13,152e6729f729566ba1327fb2aa4d122b24e555f7,set()
14,fc1a4fe54b0205ff2ba5a28047b0c7479c10c2fc,set()
15,875cdc414f2b3383d0ef2a679c6f63a5e1f111b5,set()
16,da171f37e7fe19a8fce503d9391ccf09bebe2f14,set()
17,419cacdd6424e9638f643addeefbfc1da1633231,set()
18,a6b771277d940d14aae8de108a66e0e3ee384495,set()
19,0c76f481b170d10cadafd09694d734829647dad3,set()
20,9a174343bb6a78339965e298f46ee5dd0258aa66,set()
21,a06407508fbf6fb26c2bb6c129f0c3bcb255e386,set()
22,8714dba682cedcc0dad5126f4956062381724a27,set()
23,e1b626c488d977ce43c0952dd83c85285a72c595,set()
24,6f478f64820e2d413aa88ed45f82205476186b9f,set()
25,9a464c3f096e1bdafcb7998950f5443b6123219d,set()
26,d7700b14d2ffe5d0dd5f10ede2f7311a8e0e66c5,set()
27,b5e86e9037c4718dbc7e17a0d1321e28bfa7ebc5,set()
28,81750f627b6422821fd89aef28dd6bde67e62c46,set()
29,d904ce62e5934da8edef7db303bd364e48d8278f,set()
30,eeb51a1b8ace33e8cf8dd86c8b2f281aa7c3aaec,set()
31,77321c254678bda29bf7c8f6adf35dbfc4169b6b,set()
32,5c5f6daf718004fc01c4287cbc50446b35ea2b5b,set()
33,fd351a53e7e4e3b3801be1b059b223b5038a0cc6,set()
34,d00e589e3e88b3b6bf540ace37403ebaf9cbad14,set()
35,a651d143fef5418a39c5aeb1cfdcddf8e8b68e18,set()
36,506c56874a471551c094ae223576396deb3a4f75,set()
37,f2387835d6ca526725ddd31a0a65192f1eb445eb,set()
38,0e9e9a697a24225c9f2b924fd7877ac7ed0b5cee,set()
39,ebb8b30cd73aa808725dbf3b862437cf390402d3,set()
40,6b57f6196297795fb9822503381ac189453a9232,set()
41,3112da344bd5dff13b99dee2871c24f024ecc590,set()
42,1fdcbc01a5f2229e4a29b2fad62217ddc8113117,set()
43,a73eede185c32819e2139a8f751c9a469b86a659,set()
44,23156a60d8a1926944b716b12ce3513b1a1d2b2a,set()
45,392f6147f47055fffb7014c1373f474a6eeb2f71,set()
46,7aee5c533e2c359acf62a97296053f888b833c10,set()
