COMMIT,HASH,MICROSERVICES
1,f2a9b528c92a9b925678208e153919436740e596,set()
2,0f0b6b183187c9b02ce6b97e5dde6aedc893463d,set()
3,722711ea89101792859a01e12218a98e8f55b895,set()
4,f48520e171dc9aeae083875b46b4e33cf37c4681,set()
5,3b91b3e02bd742c606fcf3cbe204b374dd4f839e,set()
6,d31807cf67962d9bac674ec9e7f7b19126f4e4b0,set()
7,cf1ffe2671bad8a5c9215ec85652256cdeea4d74,set()
8,3b73950f412cc97d9516bc0d46005143b69e6307,set()
9,0f9b0696eddff3cc75f0d31e4e7c1caca66e17e7,set()
10,3138a56819fd5e160bdb054b5418d3e50ce6d533,set()
11,60a3eecf1dcd38c94d782b9c6f3c22be05b9e4af,set()
12,778e6c46db9565bc9e8ccd6347b26251eeb40d4c,set()
13,bd623de8158999ba1ee40ed23ec65576e9aab809,set()
14,91c6cce41c5a3728f09e76b6668f6004f06882bd,set()
15,aa0181abcdeb856c9c0748d6c8d6edf222c56347,set()
16,680e4ea4842d639b181fd8ec744bf098dfc137e1,"{Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
17,1daaa6f0d879bf75323d2653e0366c98a91b3b11,"{Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
18,ec485c110e2f7d77a6d8999c8033701244d610b6,"{Microservice(name='cartservice', build=Build(context=None, rel_dockerfile='src/cartservice/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>), Microservice(name='frontend', build=Build(context=None, rel_dockerfile='src/frontend/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_IMAGE_MATCHED: 4>)}"
