COMMIT,HASH,MICROSERVICES
1,9f6414d9e0f519b29c8d059d3ae8e604bd3163eb,set()
2,6d9ec83e50377bb2c692892c0ac0242309e0b5b3,set()
3,c08364777c724a2cdf9a33ee114b416daba14729,set()
4,60251b50195d5f2e09975eef50dd0a3035fa721e,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
5,27b11da6222cdd1e6c37dcc2ceaf9bf4395c1823,"{Microservice(name='api-gateway', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='config', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
6,5821fd3fa38baa9457492434eed72f3ab0172e2e,"{Microservice(name='api-gateway', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='config', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
7,0040e73d68bd0776ef2912beb073881bb69ecf78,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='gateway-service', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
8,704957ac4ba73497f2aca5c3ae1d453faab81cb4,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='gateway-service', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='wms', build=Build(context=None, rel_dockerfile='services/wms/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
9,051b5b21c486af8833cc385136c25398303f4931,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='gateway-service', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='wms', build=Build(context=None, rel_dockerfile='services/wms/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
10,630d9679dbf0f0ded15c659429e21053832373bb,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='gateway-service', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='wms', build=Build(context=None, rel_dockerfile='services/wms/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
11,922ce737bd7e8ededb157682bdd1c21e4d6b1e14,"{Microservice(name='config-service', build=Build(context=None, rel_dockerfile='support-services/config/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='gateway-service', build=Build(context=None, rel_dockerfile='support-services/api-gateway/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='wms', build=Build(context=None, rel_dockerfile='services/wms/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>), Microservice(name='wfs', build=Build(context=None, rel_dockerfile='services/wfs/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
