COMMIT,HASH,MICROSERVICES
1,d4a4459b4e6b5fc4ff4c62d92ffbbef7451ecda6,set()
2,95535bffa85aa02fbfc91819deb06bd50e385575,set()
3,5ffc67611c368cde60ccaf1a9363adda026fc8e8,set()
4,2ac9d4e406f2922809b5771ed30812c9920b89df,set()
5,9525e53d92821476eba7581e4782dd1adbc11a5a,set()
6,3331e051c00a0a77bb193507bfc2535628b1380e,set()
7,d31aa663b66a5d272c86e0be1d021e7df0487e9d,set()
8,bc44e63a933b8dbdef407dc8a9b5e93967c589ef,set()
9,69ec6dfdf79860a8bb89a901d5af5a9a1badf983,set()
10,4a8edbd1ea8453cbca910df04e2b891e8ee28ea2,set()
11,0ec57287c8993db58d0882c841d33d9c56457f6e,set()
12,00554138a14b509a102bc64fb9cfae1e3199b8b9,set()
13,b6a9cac289d3d250b95dbf960e76356e08fbc21f,set()
14,c317c852678d5cc8793784c99bc02910b939e056,set()
15,fcfa1b8790fa1d4f5f08af0b0d0e7d0bb021ad4c,set()
16,51c036ff0b324b1f2cc05e60b3b59b9eca5099fb,set()
17,aa6f5158982074fd90c5ed8597af22df5051673c,set()
18,0d14ef5cd1ce513aefaabaea1cf71720523532f6,set()
19,ef16bb1f4ea250468110ea2884b78db9e4583e7f,set()
20,ade7bd16c45c9cb57a3417ab87ee059ba483e84e,set()
21,cbb423496232eaaed26a887ba152317abc8eeebd,set()
22,b72a875c0174116fc08203359f28c64e25605646,set()
23,0eef792ccf91f08c06a99b0584a4dcc4dc200acb,set()
24,cbc442943e24d33d598ccde97e0784fd70887e66,set()
25,cdf14b9736bacdc4ddef5d4972c21fd07fcdd799,set()
26,5d133ad4f69ba4e01d620c7bf7172662758c1462,set()
27,86bf9fbd2da8499cbb37f93523d821d30d4cf252,set()
28,1e464a74ecf111e83fc71a405d6276b728bf443a,set()
29,4ea7909b7ddae1ded3a42fcb37ef23ba7392bd80,set()
30,b93abc7787c7295f4062c848110b8c373ac4fead,set()
31,8a6891a411f024779f745f5cb60c937ac9f805c9,set()
32,e3ef6a52d386ab6bccd3cf3aeb9f803c372806ed,set()
33,a8106f066950e77104bb5bc3aed17c387857bd7e,set()
34,a86f38e29982f8d77b6ba3b8d209bcd18acadb8a,set()
35,a40920903753e2efb40b8dca1e51881b774aa4b7,set()
36,6b035ad8f60c10886dc9e5796548a3c460426aa4,set()
37,b63447c9f52054a2324bcac0caf85cef706383c6,set()
38,e0327c6ce0d69026a8912cb354acf5ead08c99aa,set()
39,14fdb4118f99956d2a294c2fdceda6521f705f87,set()
40,3f63f22a496e8e0bb4235de0e288bf7d51f1aeb5,set()
41,00005df014d2da1129006aaff5626b930c924278,set()
42,cf22a26dd3af123f8427f20f3b2a8b08948528ff,set()
43,26e8bbcc29769ad51ae3fe2c447c8ffb57287def,set()
44,048483025d7f535a56d5af271c978feee69308e7,set()
45,93a000d3615266d5f786291562b09d59404ae72b,set()
46,ea65e69db6ff2b22ce8229e4fb418ebd7d286bc3,set()
47,ff495519cbf6023eab930ef0bca2d30cd807a810,set()
48,576ef47c05d0989aaccf5fc5fb9e7cb8272332ed,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
49,83f520077dd30d14fb7daba5c5248e83fb090ef4,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
50,04c242c0e5c12b6d52da38e2a607c15fa4bcbdbb,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
51,ecff89af71edc1e49551b52890ad982765b2e903,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
52,ff5ee7acc973f68d6fa71d5e70e3a4ad3362bdbc,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
53,766fa28152ea4cc5125192f98de9bc5089556fb0,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
54,0634e4ccab9e72fb6cad2e66b0023773326495ec,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
55,ae4b12e0ed50f869275e5ea82bc201336f87a386,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
56,3c746961b51f2f263a2d988ed4860be43ba3a414,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
57,2ef3a3a66f5ad461d987cdec8930fd0538e56562,"{Microservice(name='adapter-service', build=Build(context='adapter', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='scheduler-service', build=Build(context='scheduler', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='core-service', build=Build(context='core', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='transformation-service', build=Build(context='transformation', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
