COMMIT,HASH,MICROSERVICES
1,b11a11a826a1db0715dc9d12eb05eb833b56514f,set()
2,d6f26a0664bf5b72e2e2a46c48db6110e27b2a1c,set()
3,2844c540724fb8db69c0a07f62224438b39221f5,set()
4,0db5e2afc1633bc58e312457f816b3ce5b2c2bcf,set()
5,251ef83d95f9232c564db9582b10b6bbe2d48bf0,set()
6,3627f84cf2403844935a8cad5aaafb81399c862e,set()
7,8d3ce8037c9570ee81694b2c4c6f1d314652bdeb,set()
8,76ad253bfc5ca4293ba7a715ce91c50c99f3f729,set()
9,46c451bda8f72839da89af17aa486c3449e935c5,set()
10,63a1df10b832366090f8ea2e117b7e02e60a1c88,set()
11,85b1e3c071ae13ddf6ec2d2bcbb5a33ebae361ad,set()
12,273532fd58b3c82523c2102f0879f391db31cda4,set()
13,8da496b2ba8fb01370b7881ed29e13ee30a71464,set()
14,728dab4054b9f6259b8e5dd8e2429d0792a83f6f,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
15,e8c277286d1ba6e10bf27cc90268515be985a2f6,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
16,7f14abea5d3df370540460f43ca28469a7d7b14c,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
17,d5fba5f96945a0d3d2b30dfedca9cce4ad8b07ae,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
18,2deccb503be9ddb212195308b2077f74b507d0c7,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
19,706e5e4fec8ff40368d1336032dbf3ac5e5af39a,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
20,b02fc0a22d8182a865a9abe489b6581d1b2e183a,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
21,e389a253ebeecb44d42a335b094c1dc7d6d38548,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
22,5858d97305b29df76de18be39651befcc34995bb,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
23,f4bf69e1fcf34a1a3dc65b869324b21d7a7c00ae,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
24,a92dab92016cc4e2bbbba4ad93fc31f477b9e581,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
25,1d813af8fb54d35a0527667d7d1accf829a122ad,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
26,c71ef2387f0ab865e1c57fe3d91f74523609bea2,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
27,81575f5388cc6c9418aad21dff15ce764fab3708,"{Microservice(name='mongo_api', build=Build(context='database_services', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
28,8d2cfc0fe3b7a2fd736c3180c8b1a3acbbf880b8,"{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='database', build=Build(context=None, rel_dockerfile='database_services/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
29,464d75e08717e50532549855c800bff6ee75097d,"{Microservice(name='database_api', build=Build(context='database_api_service', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='database', build=Build(context=None, rel_dockerfile='database_services/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_NAME_MATCHED: 8>)}"
