COMMIT,HASH,MICROSERVICES
1,c0b9446394682ba43f800271012972f8b22c648a,set()
2,a371265883109acce43e1fa1060197bb127ea125,set()
3,79b192588e4773cb95f6e7c09310e052a2d86c3e,set()
4,73bade04cb20ce49c8df09c03bae0be62010ba99,set()
5,742bafe7575d1c60e3ae6872f305d0865d0f7d36,set()
6,07eee228862da641515db1b4e8494743d4217d7a,set()
7,12a148a1d90b42c9b7d742114cd8b3984f6a9a62,"{Microservice(name='podcast.ingestion.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.api', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.web', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.updater.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='listentogether.hub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
8,8b4a5aa18db9aa838afaf9cfda56b97c39e563ee,"{Microservice(name='podcast.ingestion.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.api', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.web', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.updater.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='listentogether.hub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
9,01a60b540ae31cda99a70d44658213a42b7936a2,"{Microservice(name='podcast.ingestion.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.api', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.web', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.updater.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='listentogether.hub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
10,cf42a6dd147f72248741dfecf86bfa96a7f4ee5b,"{Microservice(name='podcast.ingestion.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Ingestion.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.api', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.API/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.web', build=Build(context='.', rel_dockerfile='src/Web/Server/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='podcast.updater.worker', build=Build(context='.', rel_dockerfile='src/Services/Podcasts/Podcast.Updater.Worker/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>), Microservice(name='listentogether.hub', build=Build(context='.', rel_dockerfile='src/Services/ListenTogether/ListenTogether.Hub/Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_VERIFIED: 1>)}"
